,LoginId,Contributions,Id
0,laanwj,6492,1181927
1,MarcoFalke,2370,1181927
2,sipa,1741,1181927
3,gavinandresen,1101,1181927
4,jonasschnelli,701,1181927
5,TheBlueMatt,644,1181927
6,fanquake,643,1181927
7,theuni,586,1181927
8,practicalswift,547,1181927
9,jnewbery,523,1181927
10,luke-jr,390,1181927
11,ryanofsky,281,1181927
12,achow101,277,1181927
13,non-github-bitcoin,271,1181927
14,promag,268,1181927
15,gmaxwell,267,1181927
16,sdaftuar,260,1181927
17,morcos,209,1181927
18,hebasto,194,1181927
19,jtimon,173,1181927
20,meshcollider,158,1181927
21,instagibbs,134,1181927
22,kallewoof,128,1181927
23,Empact,113,1181927
24,paveljanik,109,1181927
25,ken2812221,105,1181927
26,petertodd,102,1181927
27,jamesob,85,1181927
28,Sjors,84,1181927
29,pstratem,82,1181927
30,jimpo,78,1181927
31,dongcarl,73,1181927
32,jonatack,71,1181927
33,cozz,70,1181927
34,ajtowns,61,1181927
35,domob1812,48,1181927
36,JeremyRubin,48,1181927
37,rebroad,35,1181927
38,NicolasDorier,35,1181927
39,muggenhor,34,1181927
40,btcdrak,32,1181927
41,CodeShark,32,1181927
42,theStack,32,1181927
43,dooglus,31,1181927
44,ariard,30,1181927
45,sipsorcery,30,1181927
46,jl2012,28,1181927
47,Michagogo,25,1181927
48,kazcw,25,1181927
49,dexX7,22,1181927
50,gwillen,21,1181927
51,wtogami,19,1181927
52,dgenr8,18,1181927
53,harding,17,1181927
54,eklitzke,17,1181927
55,mrbandrews,17,1181927
56,mruddy,17,1181927
57,AkioNak,16,1181927
58,sdkfjlsfjlskdfjlsdjflsjf,16,1181927
59,l2a5b1,16,1181927
60,super3,16,1181927
61,danra,16,1181927
62,casey,15,1181927
63,skeees,15,1181927
64,kdomanski,15,1181927
65,scravy,15,1181927
66,jimmysong,14,1181927
67,ENikS,13,1181927
68,emilengler,13,1181927
69,icota,13,1181927
70,str4d,13,1181927
71,maaku,13,1181927
72,jkczyz,12,1181927
73,tjps,12,1181927
74,murrayn,12,1181927
75,jachiang,12,1181927
76,mrwhythat,12,1181927
77,amitiuttarwar,11,1181927
78,ch4ot1c,11,1181927
79,darosior,11,1181927
80,nomnombtc,11,1181927
81,dcousens,11,1181927
82,mess110,10,1181927
83,codler,10,1181927
84,kristapsk,10,1181927
85,wizeman,10,1181927
86,elichai,10,1181927
87,benthecarman,10,1181927
88,merland,10,1181927
89,roques,9,1181927
90,conscott,9,1181927
91,jmcorgan,9,1181927
92,pvasin2,9,1181927
