,Id,Name,URL,Description,Created,Size,Stars,Primal Language,Forks,Score,Open Issues Count,Subscribers Url,Languages Url,Contributors Url,Issue Event Url,Issue Comment Url,Issues Url,Releases Url,Pulls Url,Languages
0,1181927,bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,2010-12-19T15:16:43Z,142310,42695,C++,25418,1.0,1121,https://api.github.com/repos/bitcoin/bitcoin/subscribers,https://api.github.com/repos/bitcoin/bitcoin/languages,https://api.github.com/repos/bitcoin/bitcoin/contributors,https://api.github.com/repos/bitcoin/bitcoin/issues/events{/number},https://api.github.com/repos/bitcoin/bitcoin/issues/comments{/number},https://api.github.com/repos/bitcoin/bitcoin/issues{/number},https://api.github.com/repos/bitcoin/bitcoin/releases{/id},https://api.github.com/repos/bitcoin/bitcoin/pulls{/number},"'C++, Python, C, M4, Shell, Makefile, Objective-C, Java, CMake, Assembly, HTML, Scheme, Objective-C++, QMake"
1,29112049,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,2015-01-12T00:41:38Z,13234,15531,Python,2009,1.0,637,https://api.github.com/repos/HelloZeroNet/ZeroNet/subscribers,https://api.github.com/repos/HelloZeroNet/ZeroNet/languages,https://api.github.com/repos/HelloZeroNet/ZeroNet/contributors,https://api.github.com/repos/HelloZeroNet/ZeroNet/issues/events{/number},https://api.github.com/repos/HelloZeroNet/ZeroNet/issues/comments{/number},https://api.github.com/repos/HelloZeroNet/ZeroNet/issues{/number},https://api.github.com/repos/HelloZeroNet/ZeroNet/releases{/id},https://api.github.com/repos/HelloZeroNet/ZeroNet/pulls{/number},"'Python, JavaScript, CoffeeScript, CSS, HTML, Dockerfile, Batchfile"
2,91253698,ccxt,https://github.com/ccxt/ccxt,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 120 bitcoin/altcoin exchanges,2017-05-14T15:41:56Z,835007,13431,JavaScript,3773,1.0,392,https://api.github.com/repos/ccxt/ccxt/subscribers,https://api.github.com/repos/ccxt/ccxt/languages,https://api.github.com/repos/ccxt/ccxt/contributors,https://api.github.com/repos/ccxt/ccxt/issues/events{/number},https://api.github.com/repos/ccxt/ccxt/issues/comments{/number},https://api.github.com/repos/ccxt/ccxt/issues{/number},https://api.github.com/repos/ccxt/ccxt/releases{/id},https://api.github.com/repos/ccxt/ccxt/pulls{/number},"'JavaScript, PHP, Python, Shell, Dockerfile"
3,12044132,bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,Mastering Bitcoin 2nd Edition - Programming the Open Blockchain,2013-08-11T23:18:28Z,44343,13117,Python,3824,1.0,87,https://api.github.com/repos/bitcoinbook/bitcoinbook/subscribers,https://api.github.com/repos/bitcoinbook/bitcoinbook/languages,https://api.github.com/repos/bitcoinbook/bitcoinbook/contributors,https://api.github.com/repos/bitcoinbook/bitcoinbook/issues/events{/number},https://api.github.com/repos/bitcoinbook/bitcoinbook/issues/comments{/number},https://api.github.com/repos/bitcoinbook/bitcoinbook/issues{/number},https://api.github.com/repos/bitcoinbook/bitcoinbook/releases{/id},https://api.github.com/repos/bitcoinbook/bitcoinbook/pulls{/number},"'Python, HTML, C++, Go, CSS, JavaScript"
4,10020773,gekko,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/,2013-05-12T22:52:01Z,6046,9100,JavaScript,3359,1.0,0,https://api.github.com/repos/askmike/gekko/subscribers,https://api.github.com/repos/askmike/gekko/languages,https://api.github.com/repos/askmike/gekko/contributors,https://api.github.com/repos/askmike/gekko/issues/events{/number},https://api.github.com/repos/askmike/gekko/issues/comments{/number},https://api.github.com/repos/askmike/gekko/issues{/number},https://api.github.com/repos/askmike/gekko/releases{/id},https://api.github.com/repos/askmike/gekko/pulls{/number},"'JavaScript, Vue, HTML, Dockerfile, Shell"
5,68619379,abu,https://github.com/bbfamily/abu,阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构,2016-09-19T15:31:53Z,98941,6113,Python,2293,1.0,1,https://api.github.com/repos/bbfamily/abu/subscribers,https://api.github.com/repos/bbfamily/abu/languages,https://api.github.com/repos/bbfamily/abu/contributors,https://api.github.com/repos/bbfamily/abu/issues/events{/number},https://api.github.com/repos/bbfamily/abu/issues/comments{/number},https://api.github.com/repos/bbfamily/abu/issues{/number},https://api.github.com/repos/bbfamily/abu/releases{/id},https://api.github.com/repos/bbfamily/abu/pulls{/number},"'Python, Shell"
6,60696763,blockchain_guide,https://github.com/yeasy/blockchain_guide,"Introduce blockchain related technologies, from theory to practice with bitcoin, ethereum and hyperledger.",2016-06-08T12:39:33Z,24418,5268,Go,1697,1.0,0,https://api.github.com/repos/yeasy/blockchain_guide/subscribers,https://api.github.com/repos/yeasy/blockchain_guide/languages,https://api.github.com/repos/yeasy/blockchain_guide/contributors,https://api.github.com/repos/yeasy/blockchain_guide/issues/events{/number},https://api.github.com/repos/yeasy/blockchain_guide/issues/comments{/number},https://api.github.com/repos/yeasy/blockchain_guide/issues{/number},https://api.github.com/repos/yeasy/blockchain_guide/releases{/id},https://api.github.com/repos/yeasy/blockchain_guide/pulls{/number},'Go
7,104670977,blockchain,https://github.com/dvf/blockchain,A simple Blockchain in Python,2017-09-24T19:36:36Z,112,4917,C#,2027,1.0,73,https://api.github.com/repos/dvf/blockchain/subscribers,https://api.github.com/repos/dvf/blockchain/languages,https://api.github.com/repos/dvf/blockchain/contributors,https://api.github.com/repos/dvf/blockchain/issues/events{/number},https://api.github.com/repos/dvf/blockchain/issues/comments{/number},https://api.github.com/repos/dvf/blockchain/issues{/number},https://api.github.com/repos/dvf/blockchain/releases{/id},https://api.github.com/repos/dvf/blockchain/pulls{/number},"'C#, Python, JavaScript, Dockerfile"
8,31871464,blackbird,https://github.com/butor/blackbird,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy,2015-03-09T00:21:13Z,2413,4697,C++,900,1.0,193,https://api.github.com/repos/butor/blackbird/subscribers,https://api.github.com/repos/butor/blackbird/languages,https://api.github.com/repos/butor/blackbird/contributors,https://api.github.com/repos/butor/blackbird/issues/events{/number},https://api.github.com/repos/butor/blackbird/issues/comments{/number},https://api.github.com/repos/butor/blackbird/issues{/number},https://api.github.com/repos/butor/blackbird/releases{/id},https://api.github.com/repos/butor/blackbird/pulls{/number},"'C++, CMake, Makefile, Shell, C, Dockerfile"
9,49765480,lnd,https://github.com/lightningnetwork/lnd,Lightning Network Daemon ⚡️,2016-01-16T08:19:33Z,39213,4410,Go,1237,1.0,323,https://api.github.com/repos/lightningnetwork/lnd/subscribers,https://api.github.com/repos/lightningnetwork/lnd/languages,https://api.github.com/repos/lightningnetwork/lnd/contributors,https://api.github.com/repos/lightningnetwork/lnd/issues/events{/number},https://api.github.com/repos/lightningnetwork/lnd/issues/comments{/number},https://api.github.com/repos/lightningnetwork/lnd/issues{/number},https://api.github.com/repos/lightningnetwork/lnd/releases{/id},https://api.github.com/repos/lightningnetwork/lnd/pulls{/number},"'Go, Shell, Makefile, Dockerfile"
