,LoginId,Contributions,Id
0,azl397985856,115,127407957
1,chuijiaolianying,26,127407957
2,raof01,25,127407957
3,kant-li,11,127407957
4,StoneLyu,11,127407957
5,snowan,9,127407957
6,jojoxiaojing,8,127407957
7,EdgeAsh,6,127407957
8,riederleeDEV,5,127407957
9,3460741663,3,127407957
10,Songkeys,3,127407957
11,WendyGeng,3,127407957
12,aleafboat,3,127407957
13,jsycdut,2,127407957
14,winnochan,2,127407957
15,lvguofeng1303,2,127407957
16,fireairforce,2,127407957
17,zhangzhongjiang,2,127407957
18,zhangjinyang,2,127407957
19,Bert-Z,1,127407957
20,zbc,1,127407957
21,profileCaren,1,127407957
22,dorapocket,1,127407957
23,waningflow,1,127407957
24,wjj31767,1,127407957
25,klu65536,1,127407957
26,KernelWhisper,1,127407957
27,urmysun,1,127407957
28,WuYifanX,1,127407957
29,chenkangning,1,127407957
30,feikerwu,1,127407957
31,ru23,1,127407957
32,lhkzhl,1,127407957
33,yangsuli,1,127407957
34,zhangbotong,1,127407957
35,lumiasaki,1,127407957
36,xiongcaihu,1,127407957
37,gineshidalgo99,467,89247811
38,soulslicer,26,89247811
39,bikz05,11,89247811
40,ZheC,6,89247811
41,ZiuTinyat,5,89247811
42,xiangyann,4,89247811
43,bryant1410,4,89247811
44,subail,3,89247811
45,xiangdonglai,2,89247811
46,esemeniuc,2,89247811
47,jimfcarroll,2,89247811
48,drzraf,2,89247811
49,thomasfaingnaert,2,89247811
50,0x333333,2,89247811
51,fragalfernando,2,89247811
52,henczati,2,89247811
53,kroq-gar78,1,89247811
54,choiip,1,89247811
55,encoder1995,1,89247811
56,chriamue,1,89247811
57,Danivilanova,1,89247811
58,Derf00,1,89247811
59,bushibushi,1,89247811
60,HaiyongJiang,1,89247811
61,HBadertscher,1,89247811
62,harshalmittal4,1,89247811
63,hvoigt,1,89247811
64,igormcsouza,1,89247811
65,jmederos,1,89247811
66,jlsneto,1,89247811
67,johndpope,1,89247811
68,JulesDoe,1,89247811
69,goldenpartner,1,89247811
70,loretoparisi,1,89247811
71,luong-komorebi,1,89247811
72,mgrinshpon,1,89247811
73,MochanShrestha,1,89247811
74,Muratter,1,89247811
75,naoto0804,1,89247811
76,neonb88,1,89247811
77,npahucki,1,89247811
78,gnastacast,1,89247811
79,CircleOnCircles,1,89247811
80,padeler,1,89247811
81,ps2,1,89247811
82,shivenmian,1,89247811
83,skrish13,1,89247811
84,kndt84,1,89247811
85,vrichter,1,89247811
86,vinjn,1,89247811
87,vvirag,1,89247811
88,wbadart,1,89247811
89,yujif,1,89247811
90,apatsekin,1,89247811
91,arkceajin,1,89247811
92,cameron2018,1,89247811
93,derikon,1,89247811
94,NyaMisty,1,89247811
95,raretomato,1,89247811
96,sergionegri,1,89247811
97,tsimk,1,89247811
98,xfanplus,1,89247811
99,oylz,1,89247811
100,oigami,1,89247811
101,jvillard,1315,29857799
102,sblackshear,914,29857799
103,jberdine,880,29857799
104,jeremydubreil,649,29857799
105,mbouaziz,502,29857799
106,dulmarod,502,29857799
107,skcho,392,29857799
108,ezgicicek,260,29857799
109,mityal,181,29857799
110,ngorogiannis,163,29857799
111,martinoluca,150,29857799
112,ddino,142,29857799
113,da319,105,29857799
114,martintrojer,52,29857799
115,peterogithub,52,29857799
116,ryanrhee,48,29857799
117,artempyanykh,48,29857799
118,grievejia,45,29857799
119,PhoebeMay,43,29857799
120,avarun42,43,29857799
121,kren1,40,29857799
122,rgrig,35,29857799
123,fgasperij,25,29857799
124,Julek,23,29857799
125,lazaroclapp,21,29857799
126,bennostein,11,29857799
127,dr-hu,11,29857799
128,davidpichardie,9,29857799
129,yunxing,9,29857799
130,3flex,8,29857799
131,brandonkieft,7,29857799
132,katiejots,7,29857799
133,imbsky,3,29857799
134,yakobowski,3,29857799
135,yangshun,3,29857799
136,kstreee,3,29857799
137,Amar1729,3,29857799
138,XVilka,3,29857799
139,alex-slesarev,2,29857799
140,avsm,2,29857799
141,benhuds,2,29857799
142,illicitonion,2,29857799
143,donsbot,2,29857799
144,kageiit,2,29857799
145,ilyasergey,2,29857799
146,jkeljo,2,29857799
147,kfirapps,2,29857799
148,LeeHowes,2,29857799
149,theopolis,2,29857799
150,vsilyaev,2,29857799
151,fhalde,1,29857799
152,aaronjwood,1,29857799
153,adilek,1,29857799
154,asm89,1,29857799
155,anderspapitto,1,29857799
156,scout387,1,29857799
157,dinosaure,1,29857799
158,csierra,1,29857799
159,cs09g,1,29857799
160,dambrisco,1,29857799
161,danielmercier,1,29857799
162,kant,1,29857799
163,dsp,1,29857799
164,dominiccooney,1,29857799
165,filippog,1,29857799
166,DoctorQ,1,29857799
167,jesmg,1,29857799
168,juergenhoetzel,1,29857799
169,Megra,1,29857799
170,kenkyee,1,29857799
171,KihongHeo,1,29857799
172,luiscruz,1,29857799
173,Maaarcocr,1,29857799
174,bootstraponline,1,29857799
175,mengz0,1,29857799
176,RavisMsk,1,29857799
177,olivercs,1,29857799
178,pakoito,1,29857799
179,passy,1,29857799
180,ratatosk,1,29857799
181,goldsborough,1,29857799
182,Cliabhach,1,29857799
183,ronin13,1,29857799
184,li-roy,1,29857799
185,Skyfold,1,29857799
186,StephanWalters,1,29857799
187,sylvestre,1,29857799
188,ttsugriy,1,29857799
189,ttsiodras,1,29857799
190,TomMD,1,29857799
191,occho,1,29857799
192,xennygrimmato,1,29857799
193,yas375,1,29857799
194,vsiles,1,29857799
195,waylon531,1,29857799
196,ZacSweers,1,29857799
197,anuolu,1,29857799
198,azhdar,1,29857799
199,dwightmulcahy,1,29857799
200,dependabot[bot],1,29857799
201,htxs,1,29857799
202,thaidn,525,20570214
203,tholenst,417,20570214
204,przydatek,248,20570214
205,ise-crypto,185,20570214
206,tl0gic,120,20570214
207,chuckx,105,20570214
208,cryptosubtlety,95,20570214
209,slivova,73,20570214
210,pvidas,57,20570214
211,expectocode,45,20570214
212,tienthanh411,32,20570214
213,anergiz,29,20570214
214,kste,29,20570214
215,bleichen,29,20570214
216,taymonbeal,23,20570214
217,happyCoder92,20,20570214
218,waltercacau,12,20570214
219,jiliny,9,20570214
220,Zzz--,8,20570214
221,rjamet,8,20570214
222,juergw,7,20570214
223,rwgk,7,20570214
224,sophieschmieg,7,20570214
225,rlerm,5,20570214
226,rayman42003,5,20570214
227,cuonglm,4,20570214
228,cpyix,3,20570214
229,gdbelvin,3,20570214
230,kbsriram,3,20570214
231,mightyguava,3,20570214
232,ishworgurung,2,20570214
233,jhult,2,20570214
234,kelunik,2,20570214
235,rashedmyt,2,20570214
236,perkss,2,20570214
237,tahasabih,2,20570214
238,antjori,2,20570214
239,ahmetkizilay,1,20570214
240,albertpastrana,1,20570214
241,meheramaresh,1,20570214
242,Baha-sk,1,20570214
243,kant,1,20570214
244,dcouturier,1,20570214
245,ericbock,1,20570214
246,dlsniper,1,20570214
247,gliptak,1,20570214
248,docmerlin,1,20570214
249,mark-buer,1,20570214
250,schallert,1,20570214
251,phxql,1,20570214
252,Widdershin,1,20570214
253,rishabh3112,1,20570214
254,ryanhall07,1,20570214
255,Saqibm128,1,20570214
256,sjwheel,1,20570214
257,TheRealHaui,1,20570214
258,vietlq,1,20570214
259,da-edra,1,20570214
260,fnsoxt,1,20570214
261,kreuzerk,1,20570214
262,m-amr,1,20570214
263,pjunodsc,1,20570214
264,pkorth,1,20570214
265,alexkaratarakis,2478,68312233
266,ras0219-msft,2123,68312233
267,JackBoosY,277,68312233
268,Rastaban,221,68312233
269,codicodi,192,68312233
270,atkawa7,180,68312233
271,myd7349,170,68312233
272,Neumann-A,125,68312233
273,vicroms,124,68312233
274,NancyLi1013,124,68312233
275,grdowns,109,68312233
276,jasjuang,95,68312233
277,sdcb,95,68312233
278,cbezault,88,68312233
279,LilyWangL,86,68312233
280,UnaNancyOwen,82,68312233
281,ehsan-mohammadi,81,68312233
282,Mixaill,76,68312233
283,cenit,67,68312233
284,PhoebeHui,67,68312233
285,KindDragon,63,68312233
286,strega-nil,49,68312233
287,pravic,46,68312233
288,Barath-Kannan,42,68312233
289,traversaro,42,68312233
290,eao197,41,68312233
291,past-due,39,68312233
292,xoviat,39,68312233
293,albertziegenhagel,38,68312233
294,coryan,36,68312233
295,barcharcraz,36,68312233
296,crackedmind,35,68312233
297,JesseTG,32,68312233
298,AlvinZhangH,28,68312233
299,miurahr,25,68312233
300,jwillemsen,25,68312233
301,gnome71,25,68312233
302,ivysnow,25,68312233
303,RT222,25,68312233
304,Cheney-W,23,68312233
305,muemart,23,68312233
306,danielshaw42,23,68312233
307,lazyhamster,22,68312233
308,fcharlie,21,68312233
309,cwfitzgerald,20,68312233
310,SuperWig,20,68312233
311,horenmar,20,68312233
312,Milerius,20,68312233
313,BillyONeal,20,68312233
314,stammen,19,68312233
315,cmpute,18,68312233
316,patrigg,18,68312233
317,janisozaur,18,68312233
318,Squareys,18,68312233
319,zi-m,18,68312233
320,martinmoene,16,68312233
321,evpobr,16,68312233
322,qis,15,68312233
323,twMr7,15,68312233
324,LarryIII,15,68312233
325,Telokis,15,68312233
326,dan-shaw,15,68312233
327,kevinlul,15,68312233
328,jumpinjackie,15,68312233
329,vlj,15,68312233
330,yurybura,15,68312233
331,ThadHouse,15,68312233
332,edmBernard,15,68312233
333,bagong,15,68312233
334,AMDmi3,14,68312233
335,jozefizso,14,68312233
336,tobiaskohlbau,14,68312233
337,OlafvdSpek,14,68312233
338,maxGimeno,14,68312233
339,driver1998,14,68312233
340,hkaiser,13,68312233
341,martin-s,13,68312233
342,jherico,13,68312233
343,CaseyCarter,13,68312233
344,Farwaykorse,13,68312233
345,adam4813,12,68312233
346,wravery,12,68312233
347,danielaparker,12,68312233
348,kobykahane,12,68312233
349,MarkIanHolland,12,68312233
350,cdcseacave,12,68312233
351,kiwixz,12,68312233
352,zhihaoy,12,68312233
353,ewertons,12,68312233
354,glachancecmaisonneuve,12,68312233
355,kreuzerkrieg,12,68312233
356,lebdron,11,68312233
357,saedrna,11,68312233
358,josuegomes,11,68312233
359,podsvirov,11,68312233
360,TheScarfix,11,68312233
361,ngrodzitski,11,68312233
362,stijnherfst,11,68312233
363,tfussell,11,68312233
364,vinniefalco,11,68312233
365,mloskot,11,68312233
366,sigman78,11,68312233
367,AlexanderTaeschner,10,68312233
368,zabulus,10,68312233
369,mmassing,10,68312233
370,tony979,10,68312233
371,c72578,10,68312233
372,angelmixu,10,68312233
373,mmazat,10,68312233
374,dada2048,10,68312233
375,tarcila,10,68312233
376,ShinNoNoir,10,68312233
377,robmikh,10,68312233
378,aybe,9,68312233
379,jspaith,9,68312233
380,Pospelove,9,68312233
381,longhuan2018,9,68312233
382,mateka,9,68312233
383,TartanLlama,9,68312233
384,shibayan,9,68312233
385,chrullrich,9,68312233
386,mattiascibien,9,68312233
387,Morten242,8,68312233
388,SeekingMeaning,8,68312233
389,IntelOrca,8,68312233
390,koprok,8,68312233
391,W1m0k,8,68312233
392,paercebal,8,68312233
393,markaren,8,68312233
394,tronical,8,68312233
395,greg7mdp,8,68312233
396,seanyen,8,68312233
397,jjcamp,7,68312233
398,zrax,7,68312233
399,seanlis,7,68312233
400,sanxiyn,7,68312233
401,xgcssch,7,68312233
402,ptahmose,7,68312233
403,melchi45,7,68312233
404,ebraminio,7,68312233
405,mcgoo,7,68312233
406,igl42,7,68312233
407,ChaoJia,7,68312233
408,cguebert,7,68312233
409,fquinner,7,68312233
410,kypp,7,68312233
411,bsergean,6,68312233
412,chwarr,6,68312233
413,claudiofantacci,6,68312233
414,DailyShana,6,68312233
415,dzenanz,6,68312233
416,ethanhs,6,68312233
417,qmfrederik,6,68312233
418,isanych,6,68312233
419,pgrabas,6,68312233
420,LRFLEW,6,68312233
421,LazyWolfLin,6,68312233
422,nagua,6,68312233
423,philjdf,6,68312233
424,SamuelMarks,6,68312233
425,sonogi1,6,68312233
426,TheCycoONE,6,68312233
427,ThijsWithaar,6,68312233
428,tobbi,6,68312233
429,Tom-Henoch,6,68312233
430,tntxtnt,6,68312233
431,yann-lty,6,68312233
432,crusader-mike,6,68312233
433,markdegreef,6,68312233
434,Neargye,6,68312233
435,ArashPartow,6,68312233
436,kmhofmann,6,68312233
437,sipsorcery,5,68312233
438,AndyM84,5,68312233
439,madebr,5,68312233
440,DDoSolitary,5,68312233
441,drdanz,5,68312233
442,DavidLudwig,5,68312233
443,donny-dont,5,68312233
444,gjasny,5,68312233
445,willyd,5,68312233
446,Helco,5,68312233
447,JasonYang-MSFT,5,68312233
448,frederich,5,68312233
449,jhs67,5,68312233
450,Deledrius,5,68312233
451,kereslas,5,68312233
452,MikeGitb,5,68312233
453,NNemec,5,68312233
454,massand,5,68312233
455,thierryba,5,68312233
456,vpaladino778,5,68312233
457,Voskrese,5,68312233
458,bobk2824,5,68312233
459,clvn,5,68312233
460,contre,5,68312233
461,icedream2linxi,5,68312233
462,ousttrue,5,68312233
463,LaurensVoerman,5,68312233
464,ab-acx,5,68312233
465,anion155,5,68312233
466,frabert,5,68312233
467,Ghabry,5,68312233
468,agurodriguez,4,68312233
469,saprykin,4,68312233
470,rhuijben,4,68312233
471,brad-anderson,4,68312233
472,doomtr666,4,68312233
473,Convery,4,68312233
474,david-antiteum,4,68312233
475,xorz57,4,68312233
476,375gnu,4,68312233
477,jweg,4,68312233
478,playmer,4,68312233
479,mcraveiro,4,68312233
480,mariatav,4,68312233
481,MathiasMagnus,4,68312233
482,McNeight,4,68312233
483,orudge,4,68312233
484,rleigh-codelibre,4,68312233
485,corporateshark,4,68312233
486,SvenPStarFinanz,4,68312233
487,kafeg,4,68312233
488,webfolderio,4,68312233
489,Agadoul,4,68312233
490,almikhayl,4,68312233
491,emptyVoid,4,68312233
492,hlysunnaram,4,68312233
493,jadedrip,4,68312233
494,veggiesaurus,4,68312233
495,winsoft666,4,68312233
496,yintothayang,4,68312233
497,LukaszMendakiewicz,4,68312233
498,Dagizmo,4,68312233
499,lrineau,4,68312233
500,ZeeWanderer,4,68312233
501,Kwizatz,4,68312233
502,codeandroid,4,68312233
503,ryanfitzsimon,4,68312233
504,jclay,4,68312233
505,DigitalInBlue,4,68312233
506,agruzdev,3,68312233
507,andreadps,3,68312233
508,sylveon,3,68312233
509,DaanDeMeyer,3,68312233
510,Dandigit,3,68312233
511,SupSuper,3,68312233
512,evansds,3,68312233
513,nerdile,3,68312233
514,dunhor,3,68312233
515,ericmitt,3,68312233
516,dechamps,3,68312233
517,Jenosu,3,68312233
518,xuhongxu96,3,68312233
519,IronsDu,3,68312233
520,jhruby,3,68312233
521,jayeshbadwaik,3,68312233
522,JinmingHu-MSFT,3,68312233
523,jmcnamara,3,68312233
524,karjonas,3,68312233
525,JPMMaia,3,68312233
526,kblaschke,3,68312233
527,lerppana,3,68312233
528,theblackunknown,3,68312233
529,xnorpx,3,68312233
530,markgarcia,3,68312233
531,hesmar,3,68312233
532,MatthewPowley,3,68312233
533,moffel,3,68312233
534,neilsh-msft,3,68312233
