,Draft,Prerelease,Created_at,Published_at,Details,Id
0,False,False,2020-03-10T08:46:24Z,2020-03-10T09:09:07Z,This release drops the use of CGo-based bindings for ZeroMQ ([github.com/pebbe/zmq4](https://github.com/pebbe/zmq4)) in favor of a pure-Go package ([github.com/go-zeromq/zmq4](https://github.com/go-zeromq/zmq4)).,50202460
1,False,False,2019-12-08T18:21:50Z,2019-12-08T18:23:42Z,"use github.com/gofrs/uuid instead of github.com/satori/go.uuid
update to latest gomacro",50202460
2,False,False,2019-12-03T18:57:15Z,2019-12-03T18:59:14Z,update to latest gomacro which supports modules,50202460
3,False,True,2017-09-20T16:56:08Z,2017-09-20T16:57:27Z,,50202460
4,False,False,2016-11-25T19:32:13Z,2016-11-29T15:36:00Z,"Now gophernotes outputs both any error from compiling and running, and any content of `stderr` once a program is run.  Hopefully this gives a bit more context for things like indices out of range, etc.
",50202460
5,False,False,2016-10-03T02:49:02Z,2016-10-03T02:52:11Z,"- fix error printing weirdness on function declarations.
- update tests.
",50202460
6,False,False,2016-10-03T02:16:15Z,2016-10-03T02:19:49Z,"- new more descriptive error returns.
- fix for `interface{}` variable declarations.
- fix various issues related to error handling.
",50202460
7,False,False,2016-09-20T01:54:22Z,2016-09-20T01:59:06Z,"- Bug fixes - out of order declarations, printing
",50202460
8,False,False,2016-09-15T11:14:14Z,2016-09-15T11:20:56Z,"- fix weird printing repetition.
- code styling changes.
- update install files and docs.
",50202460
9,False,False,2016-08-17T12:17:24Z,2016-08-17T12:18:41Z,"- fix block importing of packages
",50202460
10,False,False,2016-08-10T11:20:11Z,2016-08-10T11:21:56Z,"- bug fixes for imports
- improvement to import without the special `:` character
- linting changes
",50202460
11,False,False,2016-08-01T12:26:21Z,2016-08-01T12:28:05Z,"- Updated README for installations.
- Update for Go 1.7.
- Update vendoring, dependency management.
- Refactoring of ZMQ code.
- Error handling.
",50202460
12,False,False,2019-04-19T11:55:16Z,2019-04-25T02:10:05Z,"Main update:

  * Support python DMatrix.
  * Better Windows support.",93925242
13,False,False,2019-03-25T13:17:10Z,2019-03-25T13:30:35Z,"Main Update:
    *Fix bugs in previous version
    *Provide binary python package on windows. Support Python(x64) in these versions: py2.7,py3.4,py3.5,py3.6,py3.7
",93925242
14,False,False,2019-03-12T07:38:49Z,2019-03-12T08:17:00Z,"Main update:
* Release Windows version of xLearn
",93925242
15,False,False,2019-01-30T14:02:00Z,2019-01-30T14:13:32Z,"Main update:

* More flexible data reader ",93925242
16,False,False,2018-11-22T13:45:00Z,2018-11-22T13:46:30Z,"* Fix bugs in previous version
* Add online learning for xLearn",93925242
17,False,False,2018-11-10T13:01:12Z,2018-11-10T13:01:57Z,"2018-11-10 xLearn 0.3.8 version release. Main update:

   * Fix bugs in previous version.
   * Update early-stop meachnism.",93925242
18,False,False,2018-10-29T05:10:33Z,2018-10-29T05:14:18Z,"Main Update:

* Fix bugs in 0.3.6",93925242
19,False,False,2018-10-29T05:10:33Z,2018-10-29T05:13:42Z,,93925242
20,False,False,2018-10-29T04:37:12Z,2018-10-29T04:38:10Z,"Main update:

    * Add incremental Reader, which can save 50% memory cost.",93925242
21,False,False,2018-10-22T07:10:10Z,2018-10-22T07:18:05Z,Fix bugs in 0.3.4 version.,93925242
22,False,False,2018-10-21T14:17:31Z,2018-10-21T14:20:14Z,"Main Update:

1. Fix bugs in on-disk training in previous version.
2. Support new file format.",93925242
23,False,False,2018-10-11T11:51:33Z,2018-10-14T08:33:41Z,"Main update:

1. Solve segmentation fault in prediction
2. Update Early-stop ",93925242
24,False,False,2018-09-22T11:45:54Z,2018-09-22T12:42:39Z,Fix bugs in previous version and re-design the TXT model output format. ,93925242
25,False,False,2018-03-09T06:50:04Z,2018-03-09T06:53:08Z,Fix the memory leak bug in xLearn 0.3.0,93925242
26,False,False,2018-03-08T23:34:15Z,2018-03-09T06:51:51Z,,93925242
27,False,False,2018-08-19T12:19:07Z,2018-08-19T12:21:01Z,"New Features:
* `plot_confusion_matrix` has new parameter `hide_counts` via @echan5 #90",80898688
28,False,False,2018-05-12T10:20:47Z,2018-05-12T10:28:40Z,"New features:
* `plot_precision_recall_curve` and `plot_roc_curve` have been deprecated for `plot_precision_recall` and `plot_roc`, respectively. The major difference is the deletion of the `curves` parameter and the use of `plot_macro`, `plot_micro`, and `classes_to_plot` to choose which curves should be plotted. Thanks to @lugq1990 for this change.",80898688
29,False,False,2018-02-05T13:55:56Z,2018-02-05T14:01:36Z,"New feature:

* `decomposition.plot_pca_2d_projection` now has an option to show biplots! Thanks to @ryanliwag for the change. ",80898688
30,False,False,2017-10-26T01:06:49Z,2017-10-26T01:08:14Z,Hotfix release for RTD. Use conda and readthedocs.yml,80898688
31,False,False,2017-10-25T14:52:15Z,2017-10-25T14:56:24Z,"New Features
* Gain Chart and Lift Chart added to `scikitplot.metrics` module #71 
* Updated Jupyter notebook examples for v0.3.x by @ljvmiranda921 #69 

Bugfix
* Changed deprecated `spectral` colormap to `nipy_spectral` by @emredjan #66 
",80898688
32,False,False,2017-09-17T03:24:51Z,2017-09-17T03:26:27Z,"Bugfix:

* Remove `nose` dependency preventing proper documentation build",80898688
33,False,False,2017-09-13T15:56:19Z,2017-09-13T16:01:01Z,"New features:
* `plot_learning_curve` has new parameter `scoring` to allow custom scoring functions. By @jengelman 
* New plotting function `plot_calibration_curves`

Deprecations
* The Factory API has been deprecated and will be removed in v0.4.0
* `scikitplot.plotters` has been deprecated and the functions in the Functions API have been distributed to various new modules. See documentation for more details.",80898688
34,False,False,2017-09-08T17:38:14Z,2017-09-08T17:46:13Z,"Features

* New option `hide_zeros` for `plot_confusion_matrix` by @ExcaliburZero. #39
* New option to plot only certain labels in `plot_confusion_matrix` by @ExcaliburZero. #41
* New options to set colormaps for `plot_pca_2d_projection`, `plot_silhouette`, `plot_precision_recall_curve`, `plot_roc_curve`, and `plot_confusion_matrix`. #50 

Bugfix:
* Fixed bug with nan values in confusion matrices by @ExcaliburZero  (#42) ",80898688
35,False,False,2017-07-09T18:25:21Z,2017-07-09T18:42:55Z,"Features:
* #38 adds new parameter `x_tick_rotation` to `plot_confusion_matrix` and `plot_feature_importances`",80898688
36,False,False,2017-05-17T12:14:01Z,2017-05-17T12:17:09Z,"Bugfix
* Fix for #31 ",80898688
37,False,False,2017-04-30T15:02:19Z,2017-04-30T15:07:08Z,"* Fix #13 Thanks to @david1309 for pointing out the fix
* New argument `labels` for `plot_confusion_matrix`. This also fixes #28",80898688
38,False,False,2017-04-25T11:04:20Z,2017-04-25T11:08:18Z,"* Previously, `plot_elbow_curve` calculated cost manually instead of using the built-in `score method of a clusterer instance.",80898688
39,False,False,2017-03-19T06:23:29Z,2017-03-19T06:28:26Z,"New features: 
* `plot_precision_recall_curve` and `plot_ks_statistic` now have a new `curves` argument that allows the user to choose which curves should be plotted. Thanks to @doug-friedman for this PR.
* Jupyter notebook examples are now available thanks to @lstmemery ",80898688
40,False,False,2017-02-26T17:34:29Z,2017-02-26T17:39:15Z,"New features:
- plot_pca_2d_projection function
- plot_pca_component_variance function
- plots now have a `figsize`, `title_fontsize`, and `text_fontsize` feature to allow user to customize the size of the plot. This is particularly crucial for Jupyter notebook users where the default settings come out too small. Thanks to @frankherfert for this idea.
",80898688
41,False,False,2017-02-19T05:20:47Z,2017-02-19T05:21:55Z,"Minor changes to examples repo.

Release to trigger Zenodo webhook.
",80898688
42,False,False,2017-02-18T21:01:21Z,2017-02-18T21:16:39Z,"Added Functions API
",80898688
43,False,False,2017-02-17T18:07:48Z,2017-02-17T18:12:09Z,"Welcome to the first ever release of scikit-plot. Hope you find this small library useful!
",80898688
44,False,False,2019-08-29T17:22:24Z,2019-08-29T17:25:28Z,,145148726
45,False,False,2019-08-29T17:22:24Z,2019-08-29T17:25:17Z,,145148726
46,False,False,2019-08-29T17:22:24Z,2019-08-29T17:25:10Z,,145148726
47,False,False,2019-08-29T17:22:24Z,2019-08-29T17:24:59Z,,145148726
48,False,False,2019-08-29T17:22:24Z,2019-08-29T17:24:48Z,,145148726
49,False,False,2019-08-27T18:19:38Z,2019-08-27T18:22:41Z,,145148726
50,False,False,2019-08-27T18:19:38Z,2019-08-27T18:22:33Z,,145148726
51,False,False,2019-08-27T18:19:38Z,2019-08-27T18:22:18Z,,145148726
52,False,False,2019-08-27T18:19:38Z,2019-08-27T18:22:03Z,,145148726
53,False,False,2019-08-27T16:23:40Z,2019-08-27T16:27:39Z,,145148726
54,False,False,2019-07-03T16:41:31Z,2019-07-03T18:17:02Z,,145148726
55,False,False,2019-06-12T14:09:08Z,2019-06-12T14:09:42Z,,145148726
56,False,False,2019-05-29T15:01:15Z,2019-05-29T15:01:52Z,,145148726
57,False,False,2019-05-14T20:04:09Z,2019-05-14T20:05:05Z,,145148726
58,False,False,2019-04-26T17:45:47Z,2019-04-26T17:46:11Z,,145148726
59,False,False,2019-04-22T19:40:11Z,2019-04-22T19:42:00Z,,145148726
60,False,False,2019-04-08T19:35:50Z,2019-04-08T19:36:20Z,,145148726
61,False,False,2019-03-25T19:07:09Z,2019-03-25T19:07:42Z,,145148726
62,False,False,2019-03-11T19:23:44Z,2019-03-11T19:24:11Z,,145148726
63,False,False,2019-02-25T21:12:51Z,2019-02-25T21:13:23Z,,145148726
64,False,False,2019-02-11T20:18:00Z,2019-02-11T20:18:32Z,,145148726
65,False,False,2019-01-28T23:10:20Z,2019-01-28T23:11:00Z,,145148726
66,False,False,2019-01-14T20:14:02Z,2019-01-14T20:14:36Z,,145148726
67,False,False,2018-12-20T20:43:17Z,2018-12-20T20:43:53Z,azureml-sdk-1.0.6,145148726
68,False,False,2018-12-13T16:28:02Z,2018-12-14T16:12:28Z,,145148726
69,False,True,2018-11-20T16:02:28Z,2018-11-20T16:03:37Z,Update to SDK version 0.1.80. Note azureml.widget and MachineLearningCompute changes.,145148726
70,False,True,2018-11-05T20:28:40Z,2018-11-05T20:29:19Z,,145148726
71,False,True,2018-10-12T18:44:10Z,2018-10-15T19:57:19Z,Update notebooks to match new Azure ML SDK version 0.1.68.,145148726
