,Id,Name,URL,Description,Created,Size,Stars,Primal Language,Forks,Score,Open Issues Count,Subscribers Url,Languages Url,Contributors Url,Issue Event Url,Issue Comment Url,Issues Url,Releases Url,Pulls Url,Languages
0,33015583,keras,https://github.com/keras-team/keras,Deep Learning for humans,2015-03-28T00:35:42Z,13334,47451,Python,17944,1.0,2960,https://api.github.com/repos/keras-team/keras/subscribers,https://api.github.com/repos/keras-team/keras/languages,https://api.github.com/repos/keras-team/keras/contributors,https://api.github.com/repos/keras-team/keras/issues/events{/number},https://api.github.com/repos/keras-team/keras/issues/comments{/number},https://api.github.com/repos/keras-team/keras/issues{/number},https://api.github.com/repos/keras-team/keras/releases{/id},https://api.github.com/repos/keras-team/keras/pulls{/number},"'Python, Dockerfile, Makefile, Shell"
1,843222,scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn: machine learning in Python,2010-08-17T09:43:38Z,117051,39954,Python,19430,1.0,2202,https://api.github.com/repos/scikit-learn/scikit-learn/subscribers,https://api.github.com/repos/scikit-learn/scikit-learn/languages,https://api.github.com/repos/scikit-learn/scikit-learn/contributors,https://api.github.com/repos/scikit-learn/scikit-learn/issues/events{/number},https://api.github.com/repos/scikit-learn/scikit-learn/issues/comments{/number},https://api.github.com/repos/scikit-learn/scikit-learn/issues{/number},https://api.github.com/repos/scikit-learn/scikit-learn/releases{/id},https://api.github.com/repos/scikit-learn/scikit-learn/pulls{/number},"'Python, C++, C, Shell, Batchfile, Makefile"
2,65388917,PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,2016-08-10T14:24:36Z,33922,22629,Jupyter Notebook,9698,1.0,127,https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/subscribers,https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/languages,https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/contributors,https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/issues/events{/number},https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/issues/comments{/number},https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/issues{/number},https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/releases{/id},https://api.github.com/repos/jakevdp/PythonDataScienceHandbook/pulls{/number},"'Jupyter Notebook, Python, CSS, HTML, Makefile"
3,7607075,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,"aka ""Bayesian Methods for Hackers"": An introduction to Bayesian methods + probabilistic programming with a computation/understanding-first, mathematics-second point of view. All in pure Python ;)  ",2013-01-14T15:46:28Z,141979,20766,Jupyter Notebook,6483,1.0,160,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/subscribers,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/languages,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/contributors,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/issues/events{/number},https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/issues/comments{/number},https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/issues{/number},https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/releases{/id},https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/pulls{/number},"'Jupyter Notebook, Python, HTML, CSS, Shell"
4,29749635,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",2015-01-23T19:38:29Z,49025,18184,Python,5632,1.0,11,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/subscribers,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/languages,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/contributors,https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/issues/events{/number},https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/issues/comments{/number},https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/issues{/number},https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/releases{/id},https://api.github.com/repos/donnemartin/data-science-ipython-notebooks/pulls{/number},"'Python, CSS, Makefile, Dockerfile"
5,175393768,Data-Science--Cheat-Sheet,https://github.com/abhat222/Data-Science--Cheat-Sheet,Cheat Sheets,2019-03-13T09:59:33Z,679043,17751,TeX,7857,1.0,14,https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/subscribers,https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/languages,https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/contributors,https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/issues/events{/number},https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/issues/comments{/number},https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/issues{/number},https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/releases{/id},https://api.github.com/repos/abhat222/Data-Science--Cheat-Sheet/pulls{/number},'TeX
6,21467110,spaCy,https://github.com/explosion/spaCy,💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython,2014-07-03T15:15:40Z,167516,16091,Python,2860,1.0,192,https://api.github.com/repos/explosion/spaCy/subscribers,https://api.github.com/repos/explosion/spaCy/languages,https://api.github.com/repos/explosion/spaCy/contributors,https://api.github.com/repos/explosion/spaCy/issues/events{/number},https://api.github.com/repos/explosion/spaCy/issues/comments{/number},https://api.github.com/repos/explosion/spaCy/issues{/number},https://api.github.com/repos/explosion/spaCy/releases{/id},https://api.github.com/repos/explosion/spaCy/pulls{/number},"'Python, JavaScript, C++, C, CSS, HTML, Makefile, Shell"
7,80990461,ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,2017-02-05T12:11:23Z,553,15800,Python,3064,1.0,29,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/subscribers,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/languages,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/contributors,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/issues/events{/number},https://api.github.com/repos/eriklindernoren/ML-From-Scratch/issues/comments{/number},https://api.github.com/repos/eriklindernoren/ML-From-Scratch/issues{/number},https://api.github.com/repos/eriklindernoren/ML-From-Scratch/releases{/id},https://api.github.com/repos/eriklindernoren/ML-From-Scratch/pulls{/number},'Python
8,12104024,go,https://github.com/datasciencemasters/go,The Open Source Data Science Masters,2013-08-14T08:33:55Z,1274,14518,,5290,1.0,74,https://api.github.com/repos/datasciencemasters/go/subscribers,https://api.github.com/repos/datasciencemasters/go/languages,https://api.github.com/repos/datasciencemasters/go/contributors,https://api.github.com/repos/datasciencemasters/go/issues/events{/number},https://api.github.com/repos/datasciencemasters/go/issues/comments{/number},https://api.github.com/repos/datasciencemasters/go/issues{/number},https://api.github.com/repos/datasciencemasters/go/releases{/id},https://api.github.com/repos/datasciencemasters/go/pulls{/number},
9,658518,ipython,https://github.com/ipython/ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.",2010-05-10T04:46:06Z,72997,14094,Python,3983,1.0,1298,https://api.github.com/repos/ipython/ipython/subscribers,https://api.github.com/repos/ipython/ipython/languages,https://api.github.com/repos/ipython/ipython/contributors,https://api.github.com/repos/ipython/ipython/issues/events{/number},https://api.github.com/repos/ipython/ipython/issues/comments{/number},https://api.github.com/repos/ipython/ipython/issues{/number},https://api.github.com/repos/ipython/ipython/releases{/id},https://api.github.com/repos/ipython/ipython/pulls{/number},"'Python, Jupyter Notebook, Shell, Makefile, Batchfile"
