,LoginId,Contributions,Id
0,marcinsulikowski,526,9800119
1,DarkHaze,304,9800119
2,psarna,277,9800119
3,lalek,187,9800119
4,AmokHuginnsson,64,9800119
5,kazik208,49,9800119
6,Fretek,34,9800119
7,MPaszkiewicz,29,9800119
8,onlyjob,26,9800119
9,pbeza,24,9800119
10,qbm,18,9800119
11,kskalski,17,9800119
12,aNeutrino,14,9800119
13,pjanicki,12,9800119
14,lamvak,11,9800119
15,Peperzastey,10,9800119
16,blink69,9,9800119
17,jedisct1,7,9800119
18,trzysiek,7,9800119
19,etam,2,9800119
20,matthiaz,2,9800119
21,malcom,2,9800119
22,eigood,1,9800119
23,briancampbell-es,1,9800119
24,lambda,1,9800119
25,christianlademann,1,9800119
26,trenta3,1,9800119
27,19wolf,1,9800119
28,Hnasar,1,9800119
29,joelnn,1,9800119
30,justin-mp,1,9800119
31,keesbos,1,9800119
32,konradwitkowski,1,9800119
33,mbrgm,1,9800119
34,smurfix,1,9800119
35,SirNolaan,1,9800119
36,sfindeisen,1,9800119
37,yummybian,1,9800119
38,three3,1,9800119
39,obscuren,3951,161629033
40,karalabe,1653,161629033
41,GavinXu520,1328,161629033
42,fjl,1002,161629033
43,tgerring,569,161629033
44,bglmmz,427,161629033
45,benbaley,418,161629033
46,TraceBundy,401,161629033
47,zelig,363,161629033
48,cheng762,289,161629033
49,CJentzsch,226,161629033
50,maran,219,161629033
51,debris,212,161629033
52,mowind,189,161629033
53,Gustav-Simonsson,161,161629033
54,awake006,142,161629033
55,WeiLoy,132,161629033
56,zsfelfoldi,118,161629033
57,mokeychan,110,161629033
58,luo-dahui,109,161629033
59,holiman,102,161629033
60,chinese-wu,76,161629033
61,niuxiaojie81,58,161629033
62,zjsunzone,58,161629033
63,rjl493456442,51,161629033
64,simonhsj,45,161629033
65,gavofyork,44,161629033
66,raventrov,43,161629033
67,nonsense,42,161629033
68,gluk256,42,161629033
69,Arachnid,39,161629033
70,vbuterin,34,161629033
71,cubedro,32,161629033
72,gballet,31,161629033
73,janos,30,161629033
74,kielbarry,22,161629033
75,jsvisa,20,161629033
76,egonelbre,19,161629033
77,acud,19,161629033
78,lmars,17,161629033
79,chfast,17,161629033
80,wyq5610522,15,161629033
81,ethers,14,161629033
82,huangsaijiewx,13,161629033
83,jimenezrick,12,161629033
84,ligi,12,161629033
85,ebuchman,11,161629033
86,winsvega,10,161629033
87,ferhatelmas,10,161629033
88,jiangshangqifeng,10,161629033
89,markya0616,10,161629033
90,mcdee,9,161629033
91,kobigurk,9,161629033
92,kurkomisi,9,161629033
93,caktux,9,161629033
94,stevenroose,8,161629033
95,shazow,8,161629033
96,robert-zaremba,7,161629033
97,holisticode,7,161629033
98,qiusese,7,161629033
99,arboreum,6,161629033
100,gbalint,6,161629033
101,erobit,6,161629033
102,JosephGoulden,6,161629033
103,manxiaqu,6,161629033
104,ryanschneider,6,161629033
105,b00ris,6,161629033
106,hadv,6,161629033
107,cdetrio,5,161629033
108,frewsxcv,5,161629033
109,Dexaran,5,161629033
110,GagziW,5,161629033
111,heikoheiko,5,161629033
112,jarradh,5,161629033
113,LefterisJP,5,161629033
114,nolash,5,161629033
115,xcthulhu,5,161629033
116,VoR0220,5,161629033
117,wuestholz,5,161629033
118,dependabot[bot],5,161629033
119,hydai,5,161629033
120,jpeletier,5,161629033
121,caesarchad,4,161629033
122,laishulu,4,161629033
123,elihanover,4,161629033
124,HusamIbrahim,4,161629033
125,divan,4,161629033
126,LLLeon,4,161629033
127,wraith7,4,161629033
128,leijurv,4,161629033
129,leofantast,4,161629033
130,hiddentao,4,161629033
131,rociiu,4,161629033
132,sdboyer,4,161629033
133,sorin,4,161629033
134,tbocek,4,161629033
135,jmozah,4,161629033
136,niuzhenguo,4,161629033
137,shinnng,4,161629033
138,gravityblast,3,161629033
139,original-brownbear,3,161629033
140,mexskican,3,161629033
141,wemeetagain,3,161629033
142,dshulyak,3,161629033
143,reductionista,3,161629033
144,evgen-povt,3,161629033
145,kenji-isuntv,3,161629033
146,nicksavers,3,161629033
147,cristaloleg,3,161629033
148,ricardohsd,3,161629033
149,romanman,3,161629033
150,remyroy,3,161629033
151,farazdagi,3,161629033
152,wuxiangzhou2010,3,161629033
153,yondonfu,3,161629033
154,zramsay,3,161629033
155,chenyufeng1991,3,161629033
156,croath,3,161629033
157,dm4,3,161629033
158,ali92hm,3,161629033
159,terasum,3,161629033
160,hqueue,3,161629033
161,Nigui,3,161629033
162,hackmod,3,161629033
163,alonmuroch,2,161629033
164,arkpar,2,161629033
165,bkirwi,2,161629033
166,callendorph,2,161629033
167,MysticRyuujin,2,161629033
168,dherbst,2,161629033
169,DavidHuie,2,161629033
170,enriquefynn,2,161629033
171,ernestodeltoro,2,161629033
172,epappas,2,161629033
173,Mischi,2,161629033
174,frozeman,2,161629033
175,wgliang,2,161629033
176,KimMachineGun,2,161629033
177,shapeshed,2,161629033
178,Eonblast,2,161629033
179,james-c,2,161629033
180,junjiequ123,2,161629033
181,cathalyst,2,161629033
182,jeffallen,2,161629033
183,jeremyschlatter,2,161629033
184,mattdf,2,161629033
185,tailingchen,2,161629033
186,zeoio,2,161629033
187,kaneshin,2,161629033
188,Smilenator,2,161629033
189,obynio,2,161629033
190,pirapira,2,161629033
191,zoenolan,2,161629033
192,cooganb,2,161629033
193,kimmylin,2,161629033
194,AlexeyAkhunov,2,161629033
195,yan188,2,161629033
196,sandakersmann,2,161629033
197,seendaer,2,161629033
198,xincaosu,2,161629033
199,abeln,2,161629033
200,ayeowch,2,161629033
201,am2rican5,2,161629033
202,YaoZengzeng,2,161629033
203,kumavis,1,161629033
204,adambabik,1,161629033
205,AdityaSripal,1,161629033
206,adriacidre,1,161629033
207,5chdn,1,161629033
208,armellini13,1,161629033
209,Airead,1,161629033
210,alanchchen,1,161629033
211,alejandro-isaza,1,161629033
212,alescoin,1,161629033
213,axic,1,161629033
214,cabreraalex,1,161629033
215,dindinw,1,161629033
216,randomshinichi,1,161629033
217,AntoineRondelet,1,161629033
218,strangeman,1,161629033
219,Shadowfiend,1,161629033
220,asasmoyo,1,161629033
221,lexibrent,1,161629033
222,bohendo,1,161629033
223,Bo-Ye,1,161629033
224,bobg,1,161629033
225,bts,1,161629033
226,Swader,1,161629033
227,6londe,1,161629033
228,clayjacobs,1,161629033
229,CrispinFlowerday,1,161629033
230,danmelton,1,161629033
231,danslo,1,161629033
232,DaveAppleton,1,161629033
233,dconroy,1,161629033
234,dvrkps,1,161629033
235,sadysnaat,1,161629033
236,derekchiang,1,161629033
237,DiSiqueira,1,161629033
238,favadi,1,161629033
239,DoubleWoodH,1,161629033
240,elliots,1,161629033
241,ludweeg,1,161629033
242,eminogrande,1,161629033
243,erezwanderman,1,161629033
244,erichin,1,161629033
245,evertonfraga,1,161629033
246,JekaMas,1,161629033
247,shichaohao,1,161629033
248,fgimenez,1,161629033
249,felixonmars,1,161629033
250,eternnoir,1,161629033
251,kamaci,1,161629033
252,george-angel,1,161629033
253,giacecco,1,161629033
254,realgio95,1,161629033
255,Mistra,1,161629033
256,greggdourgarian,1,161629033
257,gsalgado,1,161629033
258,GuiltyMorishita,1,161629033
259,gislik,1,161629033
260,HAOYUatHZ,1,161629033
261,hbcheng,1,161629033
262,hectorchu,1,161629033
263,macalinao,1,161629033
264,isghe,1,161629033
265,Ivshti,1,161629033
266,4000D,1,161629033
267,jaekwon,1,161629033
268,RuleTheMoments,1,161629033
269,guoger,1,161629033
270,kivutar,1,161629033
271,jeffprestes,1,161629033
272,jeffwalsh,1,161629033
273,Hellsegga,1,161629033
274,joelburget,1,161629033
275,jcvernaleo,1,161629033
276,ethernomad,1,161629033
277,hypergig,1,161629033
278,JustinDrake,1,161629033
279,kedenk,1,161629033
280,konradkonrad,1,161629033
281,ksinkar,1,161629033
282,kwuaint,1,161629033
283,leos,1,161629033
284,ldct,1,161629033
285,liangdzou,1,161629033
286,lionello,1,161629033
287,luclu,1,161629033
288,lukeyeager,1,161629033
289,Magicking,1,161629033
290,waffle-iron,1,161629033
291,mark-rushakoff,1,161629033
292,martinklepsch,1,161629033
293,tbm,1,161629033
294,mquandalle,1,161629033
295,MicahZoltu,1,161629033
296,manicprogrammer,1,161629033
297,miguelmota,1,161629033
298,mohanson,1,161629033
299,Firescar96,1,161629033
300,thanhson1085,1,161629033
301,veox,1,161629033
302,noman-land,1,161629033
303,obulpathi,1,161629033
304,olibye,1,161629033
305,rikonor,1,161629033
306,osuketh,1,161629033
307,pcasaretto,1,161629033
308,prusnak,1,161629033
309,pawansingh126,1,161629033
310,micblo,1,161629033
311,peterbroadhurst,1,161629033
312,ppratscher,1,161629033
313,xmikus01,1,161629033
314,pierreneter,1,161629033
315,prasanna,1,161629033
316,viktorpx,1,161629033
317,RaghavSood,1,161629033
318,deckarep,1,161629033
319,RichardH92,1,161629033
320,RichardLitt,1,161629033
321,rojotek,1,161629033
322,rsc,1,161629033
323,SamuelMarks,1,161629033
324,Sasuke1964,1,161629033
325,sauliusgrigaitis,1,161629033
326,steindekker,1,161629033
327,stephantual,1,161629033
328,swaldman,1,161629033
