,LoginId,Type,Id
0,sigpro,User,18962767
1,everittchen,User,18962767
2,falconzyx,User,18962767
3,lvhuantian,User,18962767
4,lemonrong,User,18962767
5,JackyCode,User,18962767
6,firebitsbr,User,18962767
7,leequangang,User,18962767
8,whbzju,User,18962767
9,coffeant,User,18962767
10,liwenhao,User,18962767
11,fengzhizi715,User,18962767
12,chenhang,User,18962767
13,terensu,User,18962767
14,polandeme,User,18962767
15,jameszhan,User,18962767
16,vvilp,User,18962767
17,bluecliff,User,18962767
18,zeronba,User,18962767
19,pentium3,User,18962767
20,tanchao,User,18962767
21,SimpleExpress,User,18962767
22,yellowspring,User,18962767
23,mazuku,User,18962767
24,puresteelzhang,User,18962767
25,BUPTGuo,User,18962767
26,DennisJin,User,18962767
27,sunxiaoguang,User,18962767
28,mashuai,User,18962767
29,guzhilinghun,User,18962767
30,transtone,User,18962767
31,leishu,User,18962767
32,easyhappy,User,18962767
33,cntoby,User,18962767
34,VictorFrankenstein,User,18962767
35,xiaxianxiang,User,18962767
36,zhao0419,User,18962767
37,zzh730,User,18962767
38,zhuowater,User,18962767
39,shijinkui,User,18962767
40,chxt6896,User,18962767
41,shadowwalker,User,18962767
42,daiziyi,User,18962767
43,node,User,18962767
44,ck-unifr,User,18962767
45,limonolith,User,18962767
46,PatrickLEE1984,User,18962767
47,aceway,User,18962767
48,wanghailiang,User,18962767
49,oftensmile,User,18962767
50,wycharry,User,18962767
51,devinwhu,User,18962767
52,yuxuyang,User,18962767
53,peval,User,18962767
54,p980812,User,18962767
55,begend,User,18962767
56,nl0x7c2,User,18962767
57,Amy830,User,18962767
58,jiangzhw,User,18962767
59,tdppro,User,18962767
60,huangpanxx,User,18962767
61,JaySurplus,User,18962767
62,yizhang09,User,18962767
63,wuxianliang,User,18962767
64,cmooony,User,18962767
65,klauswcam,User,18962767
66,luphappy,User,18962767
67,greatbuger,User,18962767
68,lawrencelj,User,18962767
69,taol,User,18962767
70,lzl1024,User,18962767
71,jason9263,User,18962767
72,sucitw,User,18962767
73,DuLiCS,User,18962767
74,kwxsp,User,18962767
75,rbian,User,18962767
76,gjmingsg,User,18962767
77,erichuang1994,User,18962767
78,RambowLi,User,18962767
79,cheaster,User,18962767
80,Baz2013,User,18962767
81,sunsocool,User,18962767
82,CrawlingForward,User,18962767
83,dzhou19,User,18962767
84,dvstream,User,18962767
85,wuyang630,User,18962767
86,luckytina,User,18962767
87,pazhang,User,18962767
88,coodoing,User,18962767
89,pzz2011,User,18962767
90,xxiu,User,18962767
91,astrophor,User,18962767
