,Draft,Prerelease,Created_at,Published_at,Details,Id
0,False,False,2019-11-19T19:15:16Z,2019-11-20T15:42:14Z,"### Bug fixes

- Fixed Node 4 support, which broke in v2.7.3 (https://github.com/mde/ejs/commit/5e42d6cef15ae6f2c7d29ef55a455e8e49b5e76e, @mde)",28671602
1,False,False,2019-11-19T01:59:52Z,2019-11-20T15:39:53Z,"### Bug fixes

- Made the post-install message more discreet by following the example of [opencollective-postinstall](https://github.com/opencollective/opencollective-postinstall) (https://github.com/mde/ejs/commit/228d8e45b7ced2afd3e596c13d44aed464e57e43, @mde)",28671602
2,False,False,2019-11-13T20:52:11Z,2019-11-20T15:38:01Z,"### Features

- Added support for destructuring locals (#452, @ExE-Boss)
- Added support for disabling legacy `include` directives (#458, #459, @ExE-Boss)
- Compiled functions are now shown in the debugger (#456, @S2-)
- `function.name` is now set to the file base name in environments that support this (#466, @ExE-Boss)

### Bug Fixes

- The error message when `async != true` now correctly mention the existence of the `async` option (#460, @ExE-Boss)
- Improved performance of HTML output generation (#470, @nwoltman)",28671602
3,False,False,2019-09-02T19:31:11Z,2019-11-20T15:29:24Z,"### Deprecated:
- Added deprecation notice for use of `require.extensions` (@mde)
",28671602
4,False,False,2019-06-15T15:26:33Z,2019-06-15T15:30:26Z,"  * Correctly pass custom escape function to includes (@alecgibson)
  * Fixes for rmWhitespace (@nwoltman)
  + Examples for client-side EJS compiled with Express middleware (@mjgs)
  + Make Template constructor public (@ThisNameWasTaken)
  + Added `remove` function to cache (@S2-)
  * Recognize both 'Nix and Windows absolute paths (@mde)",28671602
5,False,False,2018-03-26T00:17:15Z,2018-03-26T00:41:11Z," + Add filename to error when include file cannot be found (@Leon)
 + Node v9 in CI (@Thomas)
 * Fixed special case for Express caching (@mde)
 + Added Promise/async-await support to `renderFile` (@mde)
 + Added notes on IDE support to README (@Betanu701)",28671602
6,False,False,2017-07-30T03:29:59Z,2017-07-30T03:34:48Z," * Pass configured escape function to `rethrow` (@straker)
 + Added vulnerabilities info into README (@mde)
 * Avoid creating function object in hot execution path (@User4martin)
 + Added benchmark (@User4martin)
 + Tests for looped includes (@User4martin)



",28671602
7,False,False,2017-02-16T20:42:57Z,2017-02-25T20:50:20Z,"- Use configured escape function for filenames in errors (@mde)
- Make file-loader configurable to allow template pre-processing (@hacke2)
- Improved `renderFile` performance (@nwoltman)
",28671602
8,False,False,2016-12-06T08:05:27Z,2016-12-06T08:09:32Z,"- Allow 'filename' for opts-in-data, but sanitize when rendered (@mde)
",28671602
9,False,False,2016-12-05T22:08:59Z,2016-12-05T22:12:27Z,"- Blackist more options from opts-in-data (@mde)
- Allow trailing comments in output modes (@mde)
- Added 'name' attribute for easy identification (@designfrontier)
",28671602
