,LoginId,Contributions,Id
0,ivankravets,4347,19606299
1,valeros,319,19606299
2,ZachMassia,8,19606299
3,franciscoruiz,4,19606299
4,mplewis,4,19606299
5,pfeerick,4,19606299
6,MrCustomizer,3,19606299
7,jphollanti,3,19606299
8,awachtler,1,19606299
9,bkudria,1,19606299
10,ctag,1,19606299
11,dkuku,1,19606299
12,dhasenfratz,1,19606299
13,dbolotin,1,19606299
14,adlerweb,1,19606299
15,floretan,1,19606299
16,elmot,1,19606299
17,jrobeson,1,19606299
18,JoseAntonioTorre,1,19606299
19,Lutino,1,19606299
20,hmaarrfk,1,19606299
21,mmccartn,1,19606299
22,mincrmatt12,1,19606299
23,mcspr,1,19606299
24,PaulStoffregen,1,19606299
25,microbug,1,19606299
26,Rotzbua,1,19606299
27,ShahRustam,1,19606299
28,nomis,1,19606299
29,Teo-CD,1,19606299
30,ThomasBleijendaal,1,19606299
31,TimJay,1,19606299
32,twpayne,1,19606299
33,dvv,1,19606299
34,Tasssadar,1,19606299
35,WillemMali,1,19606299
36,xoseperez,1,19606299
37,ysoyipek,1,19606299
38,dh1tw,1,19606299
39,sticilface,1,19606299
40,shuse2,3728,50873641
41,karmacoma,3316,50873641
42,MaciejBaj,2011,50873641
43,nazarhussain,1567,50873641
44,willclarktech,1368,50873641
45,ManuGowda,1289,50873641
46,pablitovicente,1125,50873641
47,4miners,1040,50873641
48,ishantiw,866,50873641
49,lsilvs,734,50873641
50,jondubois,707,50873641
51,yatki,553,50873641
52,limiaspasdaniel,533,50873641
53,mitsuaki-u,474,50873641
54,Tschakki,354,50873641
55,michielmulders,338,50873641
56,Tosch110,335,50873641
57,SargeKhan,279,50873641
58,vitaly-t,219,50873641
59,LucasIsasmendi,206,50873641
60,valamidev,184,50873641
61,fchavant,175,50873641
62,alepop,43,50873641
63,fix,40,50873641
64,Nazgolze,36,50873641
65,robladbrook,35,50873641
66,webmaster128,29,50873641
67,TheGoldenEye,17,50873641
68,slaweet,12,50873641
69,TurboTobias,10,50873641
70,sridharmeganathan,10,50873641
71,tobiaslins,9,50873641
72,abelboldu,7,50873641
73,MichalTuleja,7,50873641
74,dakk,6,50873641
75,MaxKK,5,50873641
76,chiptus,4,50873641
77,m-schmoock,4,50873641
78,mpuk,4,50873641
79,reyraa,4,50873641
80,4fryn,3,50873641
81,Isabello,3,50873641
82,drouillard,2,50873641
83,psychopenguin,2,50873641
84,hendrikhofstadt,2,50873641
85,realrhys,2,50873641
86,ab320012,1,50873641
87,alejandronanez,1,50873641
88,DanielRuf,1,50873641
89,iamdiogo,1,50873641
90,kilkelly,1,50873641
91,Doweig,1,50873641
92,JesusTheHun,1,50873641
93,mauliksoneji,1,50873641
94,mfressdorf,1,50873641
95,soulman-is-good,1,50873641
96,darless1,1,50873641
97,RachBLondon,1,50873641
98,yoyosamo,1,50873641
99,34ro,1,50873641
100,senikk,1,50873641
101,mrv777,1,50873641
102,AKIo0O,1,50873641
103,wujimin,785,91674936
104,liubao68,366,91674936
105,seanyinx,179,91674936
106,WillemJiang,179,91674936
107,yhs0092,79,91674936
108,heyile,53,91674936
109,asifdxtreme,44,91674936
110,eric-lee-ltk,37,91674936
111,acsukesh,36,91674936
112,yangbor,34,91674936
113,AngLi2,24,91674936
114,laijianbin,23,91674936
115,GuoYL123,23,91674936
116,zaneChou1,17,91674936
117,maheshrajus,17,91674936
118,jeho0815,17,91674936
119,aseTo2016,9,91674936
120,weichao666,8,91674936
121,xuyiyun0929,8,91674936
122,TankTian,7,91674936
123,MabinGo,7,91674936
124,mt-monster,6,91674936
125,zhuhoudong,6,91674936
126,HuaiJoe,6,91674936
127,wangshenggh,4,91674936
128,jasononion,4,91674936
129,fangnoo,3,91674936
130,160731liupf,2,91674936
131,nryanov,2,91674936
132,chenxingwei-wayne,2,91674936
133,coolhongluo,2,91674936
134,lijasonvip,2,91674936
135,qiuxd,2,91674936
136,scutyuanzhi,2,91674936
137,wuliuqi666,2,91674936
138,yhj7727,2,91674936
139,zhangchi02,2,91674936
140,wldandan,2,91674936
141,zenlint,2,91674936
142,Aifeng1214,1,91674936
143,bruce1991,1,91674936
144,CCchenxiaoxue,1,91674936
145,ChinX,1,91674936
146,Cheukyin,1,91674936
147,imlidian,1,91674936
148,GoAheadW3C,1,91674936
149,Huan2012,1,91674936
150,huangjun001,1,91674936
151,szk495732563,1,91674936
152,a1154043439,1,91674936
153,yongdchan,1,91674936
154,KangZhiDong,1,91674936
155,ReynoK,1,91674936
156,michaelsam94,1,91674936
157,qizha,1,91674936
158,jyseanl,1,91674936
159,tianxiaoliang,1,91674936
160,YYTVicky,1,91674936
161,ZihangJiao,1,91674936
162,beta-u,1,91674936
163,bin-lin,1,91674936
164,burkun,1,91674936
165,dependabot[bot],1,91674936
166,eekelvin,1,91674936
167,liangyuanpeng,1,91674936
168,zhenghaibo1008,1,91674936
169,huanghaibin33,1,91674936
170,kakulisen,1,91674936
171,kangfoo,1,91674936
172,lihua8712051,1,91674936
173,linshihang,1,91674936
174,linyy1991,1,91674936
175,linzb0123,1,91674936
176,lisenwork,1,91674936
177,liumanfei,1,91674936
178,ltp217,1,91674936
179,lvtaoleo,1,91674936
180,m20082008m,1,91674936
181,newlightdd,1,91674936
182,oenpig,1,91674936
183,shengzhang90,1,91674936
184,smilemusic,1,91674936
185,spinecho20,1,91674936
186,summerlvsong,1,91674936
187,xiearthur,1,91674936
188,sunshine9409,1,91674936
189,xieyunmeng,1,91674936
190,xuhe199022,1,91674936
191,leonyzhe,1,91674936
192,zengweiming420,1,91674936
193,zhenlongLi,1,91674936
194,zyb0514,1,91674936
195,lisachenko,1075,1416156
196,TheCelavi,15,1416156
197,Rastusik,14,1416156
198,andrey-yantsen,9,1416156
199,icanhazstring,8,1416156
200,blanchonvincent,6,1416156
201,k-meister,4,1416156
202,scrutinizer-auto-fixer,4,1416156
203,daniel-sc,3,1416156
204,RLasinski,3,1416156
205,schlessera,2,1416156
206,andy-shea,2,1416156
207,Naktibalda,2,1416156
208,hax,2,1416156
209,infabo,2,1416156
210,cordoval,2,1416156
211,natechicago,2,1416156
212,Wolg,2,1416156
213,smuggli,2,1416156
214,Airmanbzh,1,1416156
215,danielcosta,1,1416156
216,edgaryonemura,1,1416156
217,GrahamCampbell,1,1416156
218,badrutdinovrr,1,1416156
219,TechieWidget,1,1416156
220,thiagolcks,1,1416156
221,TonySchmitt,1,1416156
222,szepeviktor,1,1416156
223,idr0id,1,1416156
224,ahmed-abid,1,1416156
225,intellecat,1,1416156
226,d00p,2809,3639119
227,EleRas,431,3639119
228,BNoiZe,138,3639119
229,scarya,122,3639119
230,Dessa,94,3639119
231,nachtgeist,60,3639119
232,arnisoph,52,3639119
233,Churro,32,3639119
234,makuser,22,3639119
235,Lednerb,22,3639119
236,patschi,21,3639119
237,stweil,20,3639119
238,HolySephi,20,3639119
239,chrisv2,19,3639119
240,Guite,14,3639119
241,micw,12,3639119
242,iandk,11,3639119
243,avengerx,10,3639119
244,Commifreak,9,3639119
245,tilman19,9,3639119
246,MDXDave,8,3639119
247,heavygale,8,3639119
248,hypernics,7,3639119
249,sokai,7,3639119
250,adlerweb,6,3639119
251,schadom,6,3639119
252,teian,5,3639119
253,rtznprmpftl,5,3639119
254,oliverrahner,5,3639119
255,blackice2999,5,3639119
256,kionez,5,3639119
257,megaspatz,5,3639119
258,blueJack92,5,3639119
259,andre-luiz-dos-santos,4,3639119
260,Bobselp,4,3639119
261,heaven73,4,3639119
262,drexlma,4,3639119
263,Stricted,4,3639119
264,TimoStramann,4,3639119
265,knox,4,3639119
266,negrusti,3,3639119
267,JB1985,3,3639119
268,yaplik,3,3639119
269,vogti,3,3639119
270,mkhon,3,3639119
271,michaelzangl,3,3639119
272,rzeczkowskip,3,3639119
273,lobeck,2,3639119
274,flokli,2,3639119
275,hph86,2,3639119
276,KZumbusch,2,3639119
277,anbrosius,2,3639119
278,wittich,2,3639119
279,z3dm4n,2,3639119
280,FliegenKLATSCH,2,3639119
281,5nafu,1,3639119
282,b-bittner,1,3639119
283,WebsiteDeveloper,1,3639119
284,ternes3,1,3639119
285,discordier,1,3639119
286,danielrona,1,3639119
287,bashgeek,1,3639119
288,hildende,1,3639119
289,dadadom,1,3639119
290,Douks08,1,3639119
291,evgeni,1,3639119
292,guruevi,1,3639119
293,HBerni,1,3639119
294,jakoch,1,3639119
295,Crease29,1,3639119
296,github-ivan,1,3639119
297,buffcode,1,3639119
298,lpedretti,1,3639119
