,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
0,Refactor PIO Account using a new Account Management System,open,2020-03-26T12:03:55Z,2020-03-26T12:04:08Z,,MEMBER,"Commands list: https://github.com/platformio/platformio-core/blob/develop/platformio/commands/account.py

- [ ] Login
- [ ] Logout
- [ ] Create a new PIO Account
- [ ] Change password
- [ ] Forgot password
- [ ] View or generate new personal PLATFORMIO_AUTH_TOKEN
- [ ] Show account information (TBD)

# Account Management System

API: https://account.platformio.org/api/v1/

# Overview

1) Move [commands/account.py](https://github.com/platformio/platformio-core/blob/develop/platformio/commands/account.py) to [commands/account/command.py](https://github.com/platformio/platformio-core/blob/develop/platformio/commands/account/command.py)
2) Replace `pioplus_call(sys.argv[1:])` with appropriate implementation using **Account Management System**

# `account` state

We save account data into `app.set_state_item(""account"")` in he next format:
```json
{
  ""auth"": ""Dictionary with authentication tokens, and other info"",
   ""username"": ""..."",
   ""email"": """"
}
```

We can extend this data later with new tasks, for example, roles, groups, etc.

# TODOs

- [ ] Implement `platformio.commands.account.helpers.get_authentication_token`

1) Read current state of authentication via `app.get_state_item(""account"").auth`
2) If `authentication_token` is valid, return it
3) If it is expired but there is `refresh_token`, fetch `authentication_token` and return it
4) If there is [PLATFORMIO_AUTH_TOKEN](https://docs.platformio.org/en/latest/envvars.html#envvar-PLATFORMIO_AUTH_TOKEN) environment variable, fetch `authentication_token` and return it
5) return None

- [ ] Implement `pio accont login` command

1) `get_authentication_token`, if it is not None => `return click.secho(""You are already logged in with %s acccount!"" % app.get_state_item(""account"").email)`
2) Otherwise, login to **Account Management System** and save data into `account` state.

",,19606299
1,Fish shell completions,open,2020-03-22T21:35:46Z,2020-03-24T10:51:03Z,,NONE,"### Configuration

**Operating system**: macOS

**PlatformIO Version** (`platformio --version`): PlatformIO, version 4.0.0

### Description of problem
I would love to have Fish Shell completions!
","Have you tried this https://github.com/click-contrib/click-completion? if it works, we will add to our docs.",19606299
2,Provide more information about failed tests on native platform,open,2020-03-18T13:42:14Z,2020-03-18T13:42:14Z,,MEMBER,"It's a good idea to print more detailed report about the reason of failed tests on native platform if the binary crashes (e.g. segfault) Originally reported here:
https://community.platformio.org/t/getting-output-of-failed-test/10940
",,19606299
3,Implement `pio project import` CLI/API,open,2020-03-18T11:53:37Z,2020-03-18T11:53:37Z,,MEMBER,Allow community to integrate own import tools into PlatformIO. One of example is https://github.com/ussserrr/stm32pio project by @ussserrr ,,19606299
4,Is there a way to install OFFLINE?????,open,2020-03-18T03:52:30Z,2020-03-18T03:58:06Z,,NONE,"My friend have really slow and metered internet, the installation take forever and never complete...
I searched around, there are also people want make it portable have the same issue.
Even copy whole .vscode and .platformio folders won't work.

Cant understand why it is so hard to make it portable and there seems no progress at all on this issue.

I'm trying to get more people play with Arduino without using that shitty IDE, but the online slow download install only really killed everyone's patient...","If there is PATH or other local ENV required, then the script may should just patch that rather than download the whole thing from beginning, at least copy whole .platform folder will work in this way...",19606299
5,Error on serial monitor console over Telnet,open,2020-03-16T19:32:23Z,2020-03-20T11:24:08Z,,NONE,"What kind of issue is this?

- [x] **PlatformIO Core**.

### Configuration

PlatformIO on VSCode

**Operating system**:

MacOS Mojave

**PlatformIO Version** (`platformio --version`):

Home: 3.1.1
Core: 4.2.1 

### Description of problem

While trying to access the serial console on a simulated device via telnet, when I open the serial monitor, I see some garbled characters. After hitting enter some times, I see the console output.

My config:

```
[env:hifive1]
platform = sifive
board = hifive1
framework = zephyr
## ----- Settings below are for Antmicro Renode integration ----- ##
# Monitor port for Renode integration
monitor_port = socket://localhost:1234
monitor_speed = 115200
...
```

The project is: https://github.com/carlosedp/ZephyrConsoleEchoSIM

```
> Executing task: platformio device monitor <

Looking for advanced Serial Monitor with UI? Check http://bit.ly/pio-advanced-monitor
--- Miniterm on socket://localhost:1234  115200,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
��␀��␁��␃��""*** Booting Zephyr OS version 2.1.0  ***
Hello! I'm running Zephyr 2.1.0 on hifive1, a riscv32 board.

Enter a line finishing with Enter:
> 
```

#### Steps to Reproduce

1. Build and upload project linked below
2. Open the Serial Monitor
3. See the weird characters, hit enter multiple times to get the correct output.

### Actual Results


### Expected Results

Console to open correectly. I've successfully got the console by using the `telnet 127.0.0.1 1234` command.
","Looks like at least basic telnet session negotiation is required, more info:
https://support.biamp.com/Tesira/Control/Telnet_session_negotiation_in_Tesira
http://mud-dev.wikidot.com/telnet:negotiation",19606299
6,Support for On Semiconductor RSL10 boards,open,2020-03-15T17:07:16Z,2020-03-16T10:02:00Z,,NONE,"There is at the moment unfortunately no support for the RSL10 boards from ON Semiconductor.
The RSL10 chip has an ARM Cortex M3 processor on chip and a Bluetooth stack and is a very low power component.
There exists some dev boards like the RSL10-SENSE-DB-GEVK which has some additional sensors. On Semiconductor provides a CMSIS package.
",,19606299
7,Integrate with Renode Simulation Framework for load and debug,open,2020-03-04T13:02:56Z,2020-03-23T01:13:53Z,,NONE,"What kind of issue is this?

- [x] **Feature Request**.

What is Renode?

[Renode](https://renode.io/) is an open source software development framework with commercial support from Antmicro that lets you develop, debug and test multi-node device systems reliably, scalably and effectively. 

Renode is a fantastic tool to simulate applications on multiple boards. As an example, it supports boards from STMicro and some RISC-V boards like SiFive HiFive1, Kendryte K210 and many more. 

Full board list: https://renode.readthedocs.io/en/latest/introduction/supported-boards.html

This integration would be the best of both worlds where one can develop in PlatformIO and debug/simulate on Renode without requiring hardware. Renode is available for Windows, Mac and Linux just adjusting the execution path.

I've started testing the available options and identified Renode can be started as a Telnet server (over a choosen port) and issued commands to it.

As an example to run the HiFive 1 ZephyrOS Hello World project, I did (on MacOS):

1. Open Renode with Telnet option: `/Applications/Renode.app/Contents/MacOS/macos_run.command -P 1234`
2. Connected to the Renode Telnet server: `telnet 1234`
3. Loaded the HiFive1 board script: `include @scripts/single-node/sifive_fe310.resc`
4. Started Renode remote debugger port: `machine StartGdbServer 3333 True` 
5. Loaded my ""Hello World"" ELF binary built on PlatformIO: `sysbus LoadELF @/Users/cdepaula/Documents/PlatformIO/Projects/200303-171147-zephyr-hello-world/.pio/build/hifive1/firmware.elf`
6. Start simulation with: `start`

<img width=""1399"" alt=""image"" src=""https://user-images.githubusercontent.com/20382/75881513-f8c52480-5dfd-11ea-9d45-07e9c6f76ae7.png"">

To start over, issue the command `Clear` on Renode console.

Another option is loading Renode with command line execute parameters as:

```bash
/Applications/Renode.app/Contents/MacOS/macos_run.command \
    -e ""include @scripts/single-node/sifive_fe310.resc"" \
    -e ""machine StartGdbServer 3333 True"" \
    -e ""sysbus LoadELF @/Users/cdepaula/Documents/PlatformIO/Projects/200303-171147-zephyr-hello-world/.pio/build/hifive1/firmware.elf"" \
    -e ""start""
```

I successfully integrated the PlatformIO debugger to an existing instance of Renode by adding `debug_port = localhost:3333` to `platformio.ini` on my project. Added a test breakpoint and interacted with the debugging on the simulation:

1. Open Renode with Telnet option: `/Applications/Renode.app/Contents/MacOS/macos_run.command -P 1234`
2. Connected to the Renode Telnet server: `telnet 1234`
3. Loaded the HiFive1 board script: `include @scripts/single-node/sifive_fe310.resc`
4. Started Renode remote debugger port: `machine StartGdbServer 3333 True` 

From there, I clicked the debugger ""Play"" and PlatformIO built and loaded my application into Renode.

<img width=""1208"" alt=""image"" src=""https://user-images.githubusercontent.com/20382/75882018-0e871980-5dff-11ea-8cb7-f0465899113a.png"">

Continued the breakpoint:

<img width=""1314"" alt=""image"" src=""https://user-images.githubusercontent.com/20382/75882109-442c0280-5dff-11ea-9413-c29a227fe32f.png"">

I just was not able to ""Reset"" and start over via debugging or software without issuing the `Clear` command on Renode and loading everything from start (it's fast though).

I'm wiling to help writing this support if I can get some tips.","Hey Ivan, thanks for the release! The sifive-platform release required to support this right? Also the integration with Renode is only for Debug and not Upload?

To reduce the amount of logs, just pass `-e logLevel 3` for printing errors only. Check https://renode.readthedocs.io/en/latest/basic/logger.html.

To get the console, I've used:

```
monitor_port = socket://localhost:1234
monitor_speed = 115200
```

But faced the problem from https://github.com/platformio/platformio-core/issues/3421.

I've successfully added integration to the Kendryte K210 using FreeRTOS. One problem tho is that PIO tried to upload `firmware.bin` instead of `firmware.elf`. For this I needed to change the upload argument from `@$SOURCE` to `@$PROJECT_BUILD_DIR/$PIOENV/$PROGNAME"".elf""`. I also had to add `upload_port = /dev/ttyUSB0` otherwise PIO didn't upload to Renode even by overriding by using `upload_command`. 

The complete config became:

```ini
; PlatformIO Project Configuration File
;
;   Build options: build flags, source filter
;   Upload options: custom upload port, speed and extra flags
;   Library options: dependencies, extra library storages
;   Advanced options: extra scripting
;
; Please visit documentation for the other options and examples
; https://docs.platformio.org/page/projectconf.html

[env:sipeed-maix-go]
platform = kendryte210
board = sipeed-maix-go
framework = kendryte-freertos-sdk
## ----- Settings below are for Antmicro Renode integration ----- ##
# Monitor port for Renode integration
monitor_port = socket://localhost:1234
monitor_speed = 115200
# Upload settings for Renode integration
upload_port = /dev/ttyUSB0
upload_command = renode $UPLOAD_FLAGS
upload_flags =
    -e include @scripts/single-node/kendryte_k210.resc
    -e machine StartGdbServer 3333 True
    -e logLevel 3                       ; Loglevel = Errors
    -e emulation CreateServerSocketTerminal 1234 \""externalUART\""
    -e connector Connect uart externalUART
    ; -e sysbus LoadELF @$SOURCE        ; Does not work on K210-FreeRTOS
    -e sysbus LoadELF @$PROJECT_BUILD_DIR/$PIOENV/$PROGNAME"".elf""
    -e start
# Debug settings for Renode integration
debug_tool = custom
debug_port = localhost:3333
debug_server = renode
    --hide-log
    -e include @scripts/single-node/kendryte_k210.resc
    -e machine StartGdbServer 3333 True
    -e logLevel 3           ;Loglevel = Errors
    -e emulation CreateServerSocketTerminal 1234 ""externalUART""
    -e connector Connect uart externalUART
debug_extra_cmds =
    monitor start
```",19606299
8,PIO Home server security model,open,2020-03-01T15:15:15Z,2020-03-13T10:59:16Z,,NONE,"- [x] **PlatformIO Core**

### Configuration

**Operating system**: any

**PlatformIO Version**: any

### Description of problem

Initially described in: https://community.platformio.org/t/pio-home-security-issue/12196

When `platformio home` is run by a user, PIO has unlimited access to the user's home directory.

PIO home on `http://127.0.0.1:8008` exposes the home contents:
- to any other local user
- to any (potentially malicious) website that can connect to localhost (e.g. using javascript and websockets)
- to any (potentially malicious) PIO library

#### Suggested mitigations

On Linux the process can be sandboxed by either:
- Ship a firejail profile and start platformio under firejail
- Run platformio as a system process using systemd sandboxing capabilities
- Implement native sandboxing

The sandboxing is meant to limit which paths the process (and its children) can read and write from.

EDIT: I'm happy to contribute the systemd sandboxing if needed.",What is a multiplatform solution for this issue? Could you provide a PR? Thanks in advance!,19606299
9,Package Manager CLI,open,2020-02-07T17:04:15Z,2020-02-07T17:04:16Z,,MEMBER,"Implement commands for universal package registry:
- `pio package search`
- `pio package install`
- `pio package uninstall`
- `pio package update`
- `pio package list`
",,19606299
