,Draft,Prerelease,Created_at,Published_at,Details,Id
0,False,False,2020-03-20T13:13:46Z,2020-03-20T13:15:14Z,"* Fixed a SyntaxError ""'return' with argument inside generator"" for PIO Unified Debugger when Python 2.7 is used
* Fixed an issue when ``lib_archive = no`` was not honored in [""platformio.ini""](https://docs.platformio.org/page/projectconf.html)
* Fixed a TypeError ""super(type, obj): obj must be an instance or subtype of type"" when device monitor is used with a custom dev-platform filter ([issue #3431](https://github.com/platformio/platformio-core/issues/3431))",19606299
1,False,False,2020-03-19T20:38:05Z,2020-03-19T20:45:04Z,"* Initial support for an official [PlatformIO for CLion IDE](https://docs.platformio.org/page/integration/ide/clion.html) plugin:

  - Smart C and C++ editor
  - Code refactoring
  - On-the-fly code analysis
  - ""New PlatformIO Project"" wizard
  - Building, Uploading, Testing
  - Integrated debugger (inline variable view, conditional breakpoints, expressions, watchpoints, peripheral registers, multi-thread support, etc.)

* [Device Monitor 2.0](https://docs.platformio.org/page/core/userguide/device/cmd_monitor.html)

  - Added **PlatformIO Device Monitor Filter API** (dev-platforms can extend base device monitor with a custom functionality, such as exception decoding) ([pull #3383](https://github.com/platformio/platformio-core/pull/3383))
  - Configure project device monitor with [monitor_filters](https://docs.platformio.org/page/projectconf/section_env_monitor.html#monitor-filters) option
  - [Capture device monitor output to a file](https://docs.platformio.org/page/core/userguide/device/cmd_monitor.html#capture-output-to-a-file) with ``log2file`` filter ([issue #670](https://github.com/platformio/platformio-core/issues/670))
  - Show a timestamp for each new line with ``time`` filter ([issue #981](https://github.com/platformio/platformio-core/issues/981))
  - Send a text to device on ENTER with ``send_on_enter`` filter ([issue #926](https://github.com/platformio/platformio-core/issues/926))
  - Show a hexadecimal representation of the data (code point of each character) with ``hexlify`` filter

* New standalone (1-script) [PlatformIO Core Installer](https://github.com/platformio/platformio-core-installer)
* Initial support for [Renode](https://docs.platformio.org/page/plus/debug-tools/renode.html) simulation framework ([issue #3401](https://github.com/platformio/platformio-core/issues/3401))
* Added support for Arm Mbed ""module.json"" ``dependencies`` field ([issue #3400](https://github.com/platformio/platformio-core/issues/3400))
* Improved support for Arduino ""library.properties"" ``depends`` field
* Fixed an issue when quitting from PlatformIO IDE does not shutdown PIO Home server
* Fixed an issue ""the JSON object must be str, not 'bytes'"" when PIO Home is used with Python 3.5 ([issue #3396](https://github.com/platformio/platformio-core/issues/3396))
* Fixed an issue when Python 2 does not keep encoding when converting "".ino"" ([issue #3393](https://github.com/platformio/platformio-core/issues/3393))
* Fixed an issue when ``""libArchive"": false`` in ""library.json"" does not work ([issue #3403](https://github.com/platformio/platformio-core/issues/3403))
* Fixed an issue when not all commands in [compilation database ""compile_commands.json""](https://docs.platformio.org/page/integration/compile_commands.html) use absolute paths ([pull #3415](https://github.com/platformio/platformio-core/pull/3415))
* Fixed an issue when unknown transport is used for [PIO Unit Testing](https://docs.platformio.org/page/plus/unit-testing.html) engine ([issue #3422](https://github.com/platformio/platformio-core/issues/3422))",19606299
2,False,False,2020-02-17T12:25:27Z,2020-02-17T12:27:01Z,"* Improved VSCode template with special ``forceInclude`` field for direct includes via ``-include`` flag ([issue #3379](https://github.com/platformio/platformio-core/issues/3379))
* Improved support of PIO Home on card-sized PC (Raspberry Pi, etc.) ([issue #3313](https://github.com/platformio/platformio-core/issues/3313))
* Froze ""marshmallow"" dependency to 2.X for Python 2 ([issue #3380](https://github.com/platformio/platformio-core/issues/3380))
* Fixed ""TypeError: unsupported operand type(s)"" when system environment variable is used by project configuration parser ([issue #3377](https://github.com/platformio/platformio-core/issues/3377))
* Fixed an issue when Library Dependency Finder (LDF) ignores custom ""libLDFMode"" and ""libCompatMode"" options in [library.json](http://docs.platformio.org/page/librarymanager/config.html)
* Fixed an issue when generating of compilation database ""compile_commands.json"" does not work with Python 2.7 ([issue #3378](https://github.com/platformio/platformio-core/issues/3378))
",19606299
3,False,False,2020-02-12T14:42:13Z,2020-02-12T14:54:11Z,"* [PlatformIO Home 3.1](http://docs.platformio.org/page/home/index.html):

  - Project Manager
  - Project Configuration UI for [""platformio.ini""](https://docs.platformio.org/page/projectconf.html)

* [PIO Check](http://docs.platformio.org/page/plus/pio-check.html) – automated code analysis without hassle:

  - Added support for [PVS-Studio](https://docs.platformio.org/page/plus/check-tools/pvs-studio.html) static code analyzer

* Initial support for [Project Manager](https://docs.platformio.org/page/userguide/project/index.html) CLI:

  - Show computed project configuration with a new [platformio project config](https://docs.platformio.org/page/userguide/project/cmd_config.html) command or dump to JSON with ``platformio project config --json-output`` ([issue #3335](https://github.com/platformio/platformio-core/issues/3335))
  - Moved ``platformio init`` command to [platformio project init](https://docs.platformio.org/page/userguide/project/cmd_init.html)

* Generate [compilation database ""compile_commands.json""](https://docs.platformio.org/page/faq.html#compilation-database-compile-commands-json) ([issue #2990](https://github.com/platformio/platformio-core/issues/2990))
* Control debug flags and optimization level with a new [debug_build_flags](https://docs.platformio.org/page/projectconf/section_env_debug.html#debug-build-flags) option
* Install a dev-platform with ALL declared packages using a new ``--with-all-packages`` option for [pio platform install](https://docs.platformio.org/page/userguide/platforms/cmd_install.html) command  ([issue #3345](https://github.com/platformio/platformio-core/issues/3345))
* Added support for ""pythonPackages"" in [platform.json](https://docs.platformio.org/page/platforms/creating_platform.html#manifest-file-platform-json) manifest (PlatformIO Package Manager will install dependent Python packages from PyPi registry automatically when dev-platform is installed)
* Handle project configuration (monitor, test, and upload options) for PIO Remote commands ([issue #2591](https://github.com/platformio/platformio-core/issues/2591))
* Added support for Arduino's library.properties ``depends`` field ([issue #2781](https://github.com/platformio/platformio-core/issues/2781))
* Autodetect monitor port for boards with specified HWIDs ([issue #3349](https://github.com/platformio/platformio-core/issues/3349))
* Updated SCons tool to 3.1.2
* Updated Unity tool to 2.5.0
* Made package ManifestSchema compatible with marshmallow >= 3 ([issue #3296](https://github.com/platformio/platformio-core/issues/3296))
* Warn about broken library manifest when scanning dependencies ([issue #3268](https://github.com/platformio/platformio-core/issues/3268))
* Do not overwrite custom items in VSCode's ""extensions.json"" ([issue #3374](https://github.com/platformio/platformio-core/issues/3374))
* Fixed an issue when ``env.BoardConfig()`` does not work for custom boards in extra scripts of libraries ([issue #3264](https://github.com/platformio/platformio-core/issues/3264))
* Fixed an issue with ""start-group/end-group"" linker flags on Native development platform ([issue #3282](https://github.com/platformio/platformio-core/issues/3282))
* Fixed default PIO Unified Debugger configuration for [J-Link probe](http://docs.platformio.org/page/plus/debug-tools/jlink.html)
* Fixed an issue with LDF when header files not found if ""libdeps_dir"" is within a subdirectory of ""lib_extra_dirs"" ([issue #3311](https://github.com/platformio/platformio-core/issues/3311))
* Fixed an issue ""Import of non-existent variable 'projenv''"" when development platform does not call ""env.BuildProgram()"" ([issue #3315](https://github.com/platformio/platformio-core/issues/3315))
* Fixed an issue when invalid CLI command does not return non-zero exit code
* Fixed an issue when Project Inspector crashes when flash use > 100% ([issue #3368](https://github.com/platformio/platformio-core/issues/3368))
* Fixed a ""UnicodeDecodeError"" when listing built-in libraries on macOS with Python 2.7 ([issue #3370](https://github.com/platformio/platformio-core/issues/3370))
* Fixed an issue with improperly handled compiler flags with space symbols in VSCode template ([issue #3364](https://github.com/platformio/platformio-core/issues/3364))
* Fixed an issue when no error is raised if referred parameter (interpolation) is missing in a project configuration file ([issue #3279](https://github.com/platformio/platformio-core/issues/3279))",19606299
4,False,False,2019-11-07T14:54:21Z,2019-11-07T15:01:25Z,"* [PIO Check](http://docs.platformio.org/page/plus/pio-check.html) – automated code analysis without hassle:
  - Potential NULL pointer dereferences
  - Possible indexing beyond array bounds
  - Suspicious assignments
  - Reads of potentially uninitialized objects
  - Unused variables or functions
  - Out of scope memory usage.
* [PlatformIO Home 3.0](http://docs.platformio.org/page/home/index.html) and Project Inspection
  - Static Code Analysis
  - Firmware File Explorer
  - Firmware Memory Inspection
  - Firmware Sections & Symbols Viewer.
* Added support for [Build Middlewares](http://docs.platformio.org/page/projectconf/advanced_scripting.html#build-middlewares): configure custom build flags per specific file, skip any build nodes from a framework, replace build file with another on-the-fly, etc.
* Extend project environment configuration in ""platformio.ini"" with other sections using a new [extends](http://docs.platformio.org/page/projectconf/section_env_advanced.html#extends) option ([issue #2953](https://github.com/platformio/platformio-core/issues/2953))
* Generate ``.ccls`` LSP file for [Emacs](https://docs.platformio.org/page/ide/emacs.html) cross references, hierarchies, completion and semantic highlighting
* Added ``--no-ansi`` flag for [PIO Core](http://docs.platformio.org/page/userguide/index.html) to disable ANSI control characters
* Added ``--shutdown-timeout`` option to [PIO Home Server](http://docs.platformio.org/page/userguide/cmd_home.html)
* Fixed an issue with project generator for [CLion IDE](http://docs.platformio.org/page/ide/clion.html) when 2 environments were used ([issue #2824](https://github.com/platformio/platformio-core/issues/2824))
* Fixed default PIO Unified Debugger configuration for [J-Link probe](http://docs.platformio.org/page/plus/debug-tools/jlink.html)
* Fixed an issue when configuration file options partly ignored when using custom ``--project-conf`` ([issue #3034](https://github.com/platformio/platformio-core/issues/3034))
* Fixed an issue when installing a package using custom Git tag and submodules were not updated correctly ([issue #3060](https://github.com/platformio/platformio-core/issues/3060))
* Fixed an issue with linking process when ``$LDSCRIPT`` contains a space in path
* Fixed security issue when extracting items from TAR archive ([issue #2995](https://github.com/platformio/platformio-core/issues/2995))
* Fixed an issue with project generator when ``src_build_flags`` were not respected ([issue #3137](https://github.com/platformio/platformio-core/issues/3137))
* Fixed an issue when booleans in ""platformio.ini"" are not parsed properly ([issue #3022](https://github.com/platformio/platformio-core/issues/3022))
* Fixed an issue with invalid encoding when generating project for Visual Studio ([issue #3183](https://github.com/platformio/platformio-core/issues/3183))
* Fixed an issue when Project Config Parser does not remove in-line comments when Python 3 is used ([issue #3213](https://github.com/platformio/platformio-core/issues/3213))
* Fixed an issue with a GCC Linter for PlatformIO IDE for Atom ([issue #3218](https://github.com/platformio/platformio-core/issues/3218))",19606299
5,False,False,2019-08-30T12:41:59Z,2019-08-30T12:53:31Z,"* Added support for multi-environment PlatformIO project for [CLion IDE](http://docs.platformio.org/page/ide/clion.html) ([issue #2824](https://github.com/platformio/platformio-core/issues/2824))
* Generate ``.ccls`` LSP file for [Vim](http://docs.platformio.org/en/page/vim.html) cross references, hierarchies, completion and semantic highlighting ([issue #2952](https://github.com/platformio/platformio-core/issues/2952))
* Added support for [PLATFORMIO_DISABLE_COLOR](http://docs.platformio.org/page/envvars.html#envvar-PLATFORMIO_DISABLE_COLOR) system environment variable which disables color ANSI-codes in a terminal output ([issue #2956](https://github.com/platformio/platformio-core/issues/2956))
* Updated SCons tool to 3.1.1
* Remove ProjectConfig cache when ""platformio.ini"" was modified outside
* Fixed an issue with PIO Unified Debugger on Windows OS when debug server is piped
* Fixed an issue when [--upload-port](http://docs.platformio.org/page/userguide/cmd_run.html#cmdoption-platformio-run-upload-port) CLI flag does not override declared  [upload_port](http://docs.platformio.org/page/projectconf/section_env_upload.html#upload-port) option in [""platformio.ini"" (Project Configuration File)](https://docs.platformio.org/page/projectconf.html)",19606299
6,False,False,2019-08-23T13:24:28Z,2019-08-23T13:26:53Z,* Fixed an issue with a broken [LDF](http://docs.platformio.org/page/librarymanager/ldf.html) when checking for framework compatibility [issue #2940](https://github.com/platformio/platformio-core/issues/2940),19606299
7,False,False,2019-08-22T11:25:40Z,2019-08-22T11:29:09Z,"* Print [debug tool](http://docs.platformio.org/page/plus/debugging.html#tools-debug-probes) name for the active debugging session
* Do not shutdown PIO Home Server for ""upgrade"" operations ([issue #2784](https://github.com/platformio/platformio-core/issues/2784))
* Improved computing of project check sum (structure, configuration) and avoid unnecessary rebuilding
* Improved printing of tabulated results
* Automatically normalize file system paths to UNIX-style for Project Generator ([issue #2857](https://github.com/platformio/platformio-core/issues/2857))
* Ability to set ""databaseFilename"" for VSCode and C/C++ extension ([issue #2825](https://github.com/platformio/platformio-core/issues/2825))
* Renamed ""enable_ssl"" setting to [strict_ssl](http://docs.platformio.org/page/userguide/cmd_settings.html#strict-ssl)
* Fixed an issue with incorrect escaping of Windows slashes when using [PIO Unified Debugger](http://docs.platformio.org/page/plus/debugging.html) and ""piped"" openOCD
* Fixed an issue when ""debug"", ""home"", ""run"", and ""test"" commands were not shown in ""platformio --help"" CLI
* Fixed an issue with PIO Home's ""No JSON object could be decoded"" ([issue #2823](https://github.com/platformio/platformio-core/issues/2823))
* Fixed an issue when [library.json](http://docs.platformio.org/page/librarymanager/config.html) had priority over project configuration for [LDF](http://docs.platformio.org/page/librarymanager/ldf.html) ([issue #2867](https://github.com/platformio/platformio-core/issues/2867))",19606299
8,False,False,2019-07-10T13:22:53Z,2019-07-10T13:32:34Z,"[Migration Guide from 3.0 to 4.0](http://docs.platformio.org/page/migration.html).

* [PlatformIO Plus Goes Open Source](https://community.platformio.org/t/platformio-plus-goes-open-source-improving-embedded-development-community-worldwide/8240/4)

  - Built-in [PIO Unified Debugger](http://docs.platformio.org/page/plus/debugging.html)
  - Built-in [PIO Unit Testing](http://docs.platformio.org/page/plus/unit-testing.html)

* **Project Configuration**

  - New project configuration parser with a strict options typing ([API](https://github.com/platformio/platformio-core/blob/develop/platformio/project/options.py))
  - Unified workspace storage ([workspace_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#workspace-dir) -> ``.pio``) for PlatformIO Build System, Library Manager, and other internal services ([issue #1778](https://github.com/platformio/platformio-core/issues/1778))
  - Share common (global) options between project environments using [[env]](http://docs.platformio.org/page/projectconf/section_env.html#global-scope-env) section ([issue #1643](https://github.com/platformio/platformio-core/issues/1643))
  - Include external configuration files with [extra_configs](http://docs.platformio.org/page/projectconf/section_platformio.html#extra-configs) option ([issue #1590](https://github.com/platformio/platformio-core/issues/1590))
  - Custom project ``***_dir`` options declared in [platformio](http://docs.platformio.org/page/projectconf/section_platformio.html) section have higher priority than [Environment variables](http://docs.platformio.org/page/envvars.html)
  - Added support for Unix shell-style wildcards for [monitor_port](http://docs.platformio.org/page/projectconf/section_env_monitor.html#monitor-port) option ([issue #2541](https://github.com/platformio/platformio-core/issues/2541))
  - Added new [monitor_flags](http://docs.platformio.org/page/projectconf/section_env_monitor.html#monitor-flags) option which allows passing extra flags and options to [platformio device monitor](http://docs.platformio.org/page/userguide/cmd_device.html#cmd-device-monitor) command ([issue #2165](https://github.com/platformio/platformio-core/issues/2165))
  - Added support for [PLATFORMIO_DEFAULT_ENVS](http://docs.platformio.org/page/envvars.html#envvar-PLATFORMIO_DEFAULT_ENVS) system environment variable ([issue #1967](https://github.com/platformio/platformio-core/issues/1967))
  - Added support for [shared_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#shared-dir) where you can place an extra files (extra scripts, LD scripts, etc.) which should be transferred to a [PIO Remote](http://docs.platformio.org/page/plus/pio-remote.html) machine

* **Library Management**

  - Switched to workspace ``.pio/libdeps`` folder for project dependencies instead of ``.piolibdeps``
  - Save libraries passed to [platformio lib install](http://docs.platformio.org/page/userguide/lib/cmd_install.html) command into the project dependency list ([lib_deps](http://docs.platformio.org/page/projectconf/section_env_library.html#lib-deps)) with a new ``--save`` flag ([issue #1028](https://github.com/platformio/platformio-core/issues/1028))
  - Install all project dependencies declared via [lib_deps](http://docs.platformio.org/page/projectconf/section_env_library.html#lib-deps) option using a simple [platformio lib install](http://docs.platformio.org/page/userguide/lib/cmd_install.html) command ([issue #2147](https://github.com/platformio/platformio-core/issues/2147))
  - Use isolated library dependency storage per project build environment ([issue #1696](https://github.com/platformio/platformio-core/issues/1696))
  - Look firstly in built-in library storages for a missing dependency instead of PlatformIO Registry ([issue #1654](https://github.com/platformio/platformio-core/issues/1654))
  - Override default source and include directories for a library via [library.json](http://docs.platformio.org/page/librarymanager/config.html) manifest using ``includeDir`` and ``srcDir`` fields
  - Fixed an issue when library keeps reinstalling for non-latin path ([issue #1252](https://github.com/platformio/platformio-core/issues/1252))
  - Fixed an issue when [lib_compat_mode = strict](http://docs.platformio.org/page/librarymanager/ldf.html#ldf-compat-mode) does not ignore libraries incompatible with a project framework

* **Build System**

  - Switched to workspace ``.pio/build`` folder for build artifacts instead of ``.pioenvs``
  - Switch between [Build Configurations](http://docs.platformio.org/page/projectconf/build_configurations.html) (``release`` and ``debug``) with a new project configuration option [build_type](http://docs.platformio.org/page/projectconf/section_env_build.html#build-type)
  - Custom [platform_packages](http://docs.platformio.org/page/projectconf/section_env_general.html#platform) per a build environment with an option to override default ([issue #1367](https://github.com/platformio/platformio-core/issues/1367))
  - Print platform package details, such as version, VSC source and commit ([issue #2155](https://github.com/platformio/platformio-core/issues/2155))
  - Control a number of parallel build jobs with a new [-j, --jobs](http://docs.platformio.org/page/userguide/cmd_run.html#cmdoption-platformio-run-j) option
  - Override default [""platformio.ini"" (Project Configuration File)](https://docs.platformio.org/page/projectconf.html) with a custom using ``-c, --project-conf`` option for [platformio run](http://docs.platformio.org/page/userguide/cmd_run.html), [platformio debug](http://docs.platformio.org/page/userguide/cmd_debug.html), or [platformio test](http://docs.platformio.org/page/userguide/cmd_test.html) commands ([issue #1913](https://github.com/platformio/platformio-core/issues/1913))
  - Override default development platform upload command with a custom [upload_command](http://docs.platformio.org/page/projectconf/section_env_upload.html#upload-command) ([issue #2599](https://github.com/platformio/platformio-core/issues/2599))
  - Configure a shared folder for the derived files (objects, firmwares, ELFs) from a build system using [build_cache_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#build-cache-dir) option ([issue #2674](https://github.com/platformio/platformio-core/issues/2674))
  - Fixed an issue when ``-U`` in ``build_flags`` does not remove macro previously defined via ``-D`` flag ([issue #2508](https://github.com/platformio/platformio-core/issues/2508))

* **Infrastructure**

  - Python 3 support ([issue #895](https://github.com/platformio/platformio-core/issues/895))
  - Significantly speedup back-end for PIO Home. It works super fast now!
  - Added support for the latest Python ""Click"" package (CLI) ([issue #349](https://github.com/platformio/platformio-core/issues/349))
  - Added options to override default locations used by PlatformIO Core ([core_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#core-dir), [globallib_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#globallib-dir), [platforms_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#platforms-dir), [packages_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#packages-dir), [cache_dir](http://docs.platformio.org/page/projectconf/section_platformio.html#cache-dir)) ([issue #1615](https://github.com/platformio/platformio-core/issues/1615))
  - Removed line-buffering from [platformio run](http://docs.platformio.org/page/userguide/cmd_run.html) command which was leading to omitting progress bar from upload tools ([issue #856](https://github.com/platformio/platformio-core/issues/856))
  - Fixed numerous issues related to ""UnicodeDecodeError"" and international locales, or when project path contains non-ASCII chars ([issue #143](https://github.com/platformio/platformio-core/issues/143), [issue #1342](https://github.com/platformio/platformio-core/issues/1342), [issue #1959](https://github.com/platformio/platformio-core/issues/1959), [issue #2100](https://github.com/platformio/platformio-core/issues/2100))

* **Integration**

  - Support custom CMake configuration for CLion IDE using ``CMakeListsUser.txt`` file
  - Fixed an issue with hardcoded C standard version when generating project for CLion IDE ([issue #2527](https://github.com/platformio/platformio-core/issues/2527))
  - Fixed an issue with Project Generator when an include path search order is inconsistent to what passed to the compiler ([issue #2509](https://github.com/platformio/platformio-core/issues/2509))
  - Fixed an issue when generating invalid ""Eclipse CDT Cross GCC Built-in Compiler Settings"" if a custom [PLATFORMIO_CORE_DIR](http://docs.platformio.org/page/envvars.html#envvar-PLATFORMIO_CORE_DIR) is used ([issue #806](https://github.com/platformio/platformio-core/issues/806))

* **Miscellaneous**

  - Deprecated ``--only-check`` PlatformIO Core CLI option for ""update"" sub-commands, please use ``--dry-run`` instead
  - Fixed ""systemd-udevd"" warnings in [99-platformio-udev.rules](http://docs.platformio.org/page/faq.html#platformio-udev-rules) ([issue #2442](https://github.com/platformio/platformio-core/issues/2442))
  - Fixed an issue when package cache (Library Manager) expires too fast ([issue #2559](https://github.com/platformio/platformio-core/issues/2559))",19606299
9,False,False,2019-04-23T09:47:27Z,2019-04-23T09:56:04Z,"* [PIO Unified Debugger](https://docs.platformio.org/page/plus/debugging.html): improved debugging in ``debug_load_mode = modified`` and fixed an issue with useless project rebuilding
* Project Generator: fixed a VSCode C/C++'s ""Cannot find"" warning when CPPPATH folder does not exist
* Fixed an ""IndexError: list index out of range"" for Arduino sketch preprocessor ([issue #2268](https://github.com/platformio/platformio-core/issues/2268))
* Fixed an issue when invalid ""env_default"" in [""platformio.ini"" (Project Configuration File)](https://docs.platformio.org/page/projectconf.html) results into unhandled errors ([issue #2265](https://github.com/platformio/platformio-core/issues/2265))",19606299
