,Id,Name,URL,Description,Created,Size,Stars,Primal Language,Forks,Score,Open Issues Count,Watchers Count,Languages Url,Contributors Url,Issue Event Url,Issue Comment Url,Issues Url,Releases Url,Pulls Url,Languages
0,54346799,public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs for use in software and web development.,2016-03-20T23:49:42Z,2559,72817,Python,8339,1.0,90,72817,https://api.github.com/repos/public-apis/public-apis/languages,https://api.github.com/repos/public-apis/public-apis/contributors,https://api.github.com/repos/public-apis/public-apis/issues/events{/number},https://api.github.com/repos/public-apis/public-apis/issues/comments{/number},https://api.github.com/repos/public-apis/public-apis/issues{/number},https://api.github.com/repos/public-apis/public-apis/releases{/id},https://api.github.com/repos/public-apis/public-apis/pulls{/number},"'Python, Shell"
1,174774052,BosqueLanguage,https://github.com/microsoft/BosqueLanguage,The Bosque programming language is an experiment in regularized design for a machine assisted rapid and reliable software development lifecycle. ,2019-03-10T03:37:38Z,11549,4678,TypeScript,313,1.0,8,4678,https://api.github.com/repos/microsoft/BosqueLanguage/languages,https://api.github.com/repos/microsoft/BosqueLanguage/contributors,https://api.github.com/repos/microsoft/BosqueLanguage/issues/events{/number},https://api.github.com/repos/microsoft/BosqueLanguage/issues/comments{/number},https://api.github.com/repos/microsoft/BosqueLanguage/issues{/number},https://api.github.com/repos/microsoft/BosqueLanguage/releases{/id},https://api.github.com/repos/microsoft/BosqueLanguage/pulls{/number},"'TypeScript, JavaScript, C++, SMT"
2,19606299,platformio-core,https://github.com/platformio/platformio-core,PlatformIO is a new generation ecosystem for embedded development :alien: A place where Developers and Teams have true Freedom! No more hardware or software lock-ins!,2014-05-09T09:38:42Z,36606,3867,Python,497,1.0,102,3867,https://api.github.com/repos/platformio/platformio-core/languages,https://api.github.com/repos/platformio/platformio-core/contributors,https://api.github.com/repos/platformio/platformio-core/issues/events{/number},https://api.github.com/repos/platformio/platformio-core/issues/comments{/number},https://api.github.com/repos/platformio/platformio-core/issues{/number},https://api.github.com/repos/platformio/platformio-core/releases{/id},https://api.github.com/repos/platformio/platformio-core/pulls{/number},"'Python, Smarty, C++, Makefile, Processing"
3,7372528,swig,https://github.com/swig/swig,SWIG is a software development tool that connects programs written in C and C++ with a variety of high-level programming languages.,2012-12-30T02:04:38Z,63076,3379,C++,834,1.0,483,3379,https://api.github.com/repos/swig/swig/languages,https://api.github.com/repos/swig/swig/contributors,https://api.github.com/repos/swig/swig/issues/events{/number},https://api.github.com/repos/swig/swig/issues/comments{/number},https://api.github.com/repos/swig/swig/issues{/number},https://api.github.com/repos/swig/swig/releases{/id},https://api.github.com/repos/swig/swig/pulls{/number},"'C++, SWIG, C, Yacc, M4, Makefile, Shell, Python, OCaml, Scheme, HTML, GDB, Perl, Batchfile, Pike, Ruby, Assembly"
4,53985630,interview-questions-in-javascript,https://github.com/kennymkchan/interview-questions-in-javascript,A mostly reasonable collection of technical software development interview questions solved in Javascript,2016-03-15T23:22:08Z,48,2969,,356,1.0,3,2969,https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/languages,https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/contributors,https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/issues/events{/number},https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/issues/comments{/number},https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/issues{/number},https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/releases{/id},https://api.github.com/repos/kennymkchan/interview-questions-in-javascript/pulls{/number},
5,50873641,lisk-sdk,https://github.com/LiskHQ/lisk-sdk,🔩 Lisk software development kit,2016-02-01T21:45:35Z,81817,2684,TypeScript,452,1.0,154,2684,https://api.github.com/repos/LiskHQ/lisk-sdk/languages,https://api.github.com/repos/LiskHQ/lisk-sdk/contributors,https://api.github.com/repos/LiskHQ/lisk-sdk/issues/events{/number},https://api.github.com/repos/LiskHQ/lisk-sdk/issues/comments{/number},https://api.github.com/repos/LiskHQ/lisk-sdk/issues{/number},https://api.github.com/repos/LiskHQ/lisk-sdk/releases{/id},https://api.github.com/repos/LiskHQ/lisk-sdk/pulls{/number},"'TypeScript, JavaScript, TSQL, PLpgSQL, Groovy, Shell, HTML, Batchfile"
6,74152323,laravel-gitscrum,https://github.com/gitscrum-ce/laravel-gitscrum,Simple and Robust solution to manage your software development project,2016-11-18T17:34:36Z,14389,2543,PHP,654,1.0,47,2543,https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/languages,https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/contributors,https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/issues/events{/number},https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/issues/comments{/number},https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/issues{/number},https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/releases{/id},https://api.github.com/repos/gitscrum-ce/laravel-gitscrum/pulls{/number},"'PHP, HTML, CSS, JavaScript"
7,179149772,AgileLite,https://github.com/davebs/AgileLite,Agile software development without all the burnout.,2019-04-02T20:02:00Z,292,2056,,76,1.0,4,2056,https://api.github.com/repos/davebs/AgileLite/languages,https://api.github.com/repos/davebs/AgileLite/contributors,https://api.github.com/repos/davebs/AgileLite/issues/events{/number},https://api.github.com/repos/davebs/AgileLite/issues/comments{/number},https://api.github.com/repos/davebs/AgileLite/issues{/number},https://api.github.com/repos/davebs/AgileLite/releases{/id},https://api.github.com/repos/davebs/AgileLite/pulls{/number},
8,9414021,software-development-kit,https://github.com/clinical-meteor/software-development-kit,"FDA, HIPPA, and HL7 compliant Javascript/Node applications!",2013-04-13T13:28:39Z,101754,1664,Shell,257,1.0,30,1664,https://api.github.com/repos/clinical-meteor/software-development-kit/languages,https://api.github.com/repos/clinical-meteor/software-development-kit/contributors,https://api.github.com/repos/clinical-meteor/software-development-kit/issues/events{/number},https://api.github.com/repos/clinical-meteor/software-development-kit/issues/comments{/number},https://api.github.com/repos/clinical-meteor/software-development-kit/issues{/number},https://api.github.com/repos/clinical-meteor/software-development-kit/releases{/id},https://api.github.com/repos/clinical-meteor/software-development-kit/pulls{/number},'Shell
9,91674936,servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,"ServiceComb Java Chassis is a Software Development Kit (SDK) for rapid development of microservices in Java, providing service registration, service discovery, dynamic routing, and service management features",2017-05-18T09:29:30Z,17138,1546,Java,597,1.0,99,1546,https://api.github.com/repos/apache/servicecomb-java-chassis/languages,https://api.github.com/repos/apache/servicecomb-java-chassis/contributors,https://api.github.com/repos/apache/servicecomb-java-chassis/issues/events{/number},https://api.github.com/repos/apache/servicecomb-java-chassis/issues/comments{/number},https://api.github.com/repos/apache/servicecomb-java-chassis/issues{/number},https://api.github.com/repos/apache/servicecomb-java-chassis/releases{/id},https://api.github.com/repos/apache/servicecomb-java-chassis/pulls{/number},"'Java, HTML, JavaScript, CSS, Shell, Python"
10,1416156,framework,https://github.com/goaop/framework,:gem: Go! AOP PHP - modern aspect-oriented framework for the new level of software development,2011-02-26T22:15:12Z,2253,1378,PHP,130,1.0,10,1378,https://api.github.com/repos/goaop/framework/languages,https://api.github.com/repos/goaop/framework/contributors,https://api.github.com/repos/goaop/framework/issues/events{/number},https://api.github.com/repos/goaop/framework/issues/comments{/number},https://api.github.com/repos/goaop/framework/issues{/number},https://api.github.com/repos/goaop/framework/releases{/id},https://api.github.com/repos/goaop/framework/pulls{/number},"'PHP, Shell"
11,180575968,awesome-programming-books,https://github.com/zero-equals-false/awesome-programming-books,"📚 A curated list of awesome programming books (Algorithms and data structures, Artificial intelligence, Software Architecture, Human–computer interaction, Operating Systems, Database Systems, IT Security, Concurrency, Interpreters and Compilers, High-Performance Computing, Distributed Systems, Game Development, Mathematical optimization)",2019-04-10T12:23:12Z,169,1271,,113,1.0,4,1271,https://api.github.com/repos/zero-equals-false/awesome-programming-books/languages,https://api.github.com/repos/zero-equals-false/awesome-programming-books/contributors,https://api.github.com/repos/zero-equals-false/awesome-programming-books/issues/events{/number},https://api.github.com/repos/zero-equals-false/awesome-programming-books/issues/comments{/number},https://api.github.com/repos/zero-equals-false/awesome-programming-books/issues{/number},https://api.github.com/repos/zero-equals-false/awesome-programming-books/releases{/id},https://api.github.com/repos/zero-equals-false/awesome-programming-books/pulls{/number},
12,92865843,Public_Speaking,https://github.com/vmbrasseur/Public_Speaking,"A repository of resources about public speaking, specifically in the context of software development and IT conferences.",2017-05-30T18:53:17Z,123,1170,,137,1.0,14,1170,https://api.github.com/repos/vmbrasseur/Public_Speaking/languages,https://api.github.com/repos/vmbrasseur/Public_Speaking/contributors,https://api.github.com/repos/vmbrasseur/Public_Speaking/issues/events{/number},https://api.github.com/repos/vmbrasseur/Public_Speaking/issues/comments{/number},https://api.github.com/repos/vmbrasseur/Public_Speaking/issues{/number},https://api.github.com/repos/vmbrasseur/Public_Speaking/releases{/id},https://api.github.com/repos/vmbrasseur/Public_Speaking/pulls{/number},
13,3639119,Froxlor,https://github.com/Froxlor/Froxlor,The server administration software for your needs - The official Froxlor development Git repository,2012-03-06T15:14:46Z,20077,1134,PHP,359,1.0,36,1134,https://api.github.com/repos/Froxlor/Froxlor/languages,https://api.github.com/repos/Froxlor/Froxlor/contributors,https://api.github.com/repos/Froxlor/Froxlor/issues/events{/number},https://api.github.com/repos/Froxlor/Froxlor/issues/comments{/number},https://api.github.com/repos/Froxlor/Froxlor/issues{/number},https://api.github.com/repos/Froxlor/Froxlor/releases{/id},https://api.github.com/repos/Froxlor/Froxlor/pulls{/number},"'PHP, HTML, CSS, Smarty"
14,85343042,DesignPatterns,https://github.com/abishekaditya/DesignPatterns,Project : Design Patterns Examples in C#,2017-03-17T18:28:25Z,93,1045,C#,315,1.0,3,1045,https://api.github.com/repos/abishekaditya/DesignPatterns/languages,https://api.github.com/repos/abishekaditya/DesignPatterns/contributors,https://api.github.com/repos/abishekaditya/DesignPatterns/issues/events{/number},https://api.github.com/repos/abishekaditya/DesignPatterns/issues/comments{/number},https://api.github.com/repos/abishekaditya/DesignPatterns/issues{/number},https://api.github.com/repos/abishekaditya/DesignPatterns/releases{/id},https://api.github.com/repos/abishekaditya/DesignPatterns/pulls{/number},'C#
15,72888735,aws-fpga,https://github.com/aws/aws-fpga,Official repository of the AWS EC2 FPGA Hardware and Software Development Kit,2016-11-04T22:04:05Z,309283,912,VHDL,335,1.0,8,912,https://api.github.com/repos/aws/aws-fpga/languages,https://api.github.com/repos/aws/aws-fpga/contributors,https://api.github.com/repos/aws/aws-fpga/issues/events{/number},https://api.github.com/repos/aws/aws-fpga/issues/comments{/number},https://api.github.com/repos/aws/aws-fpga/issues{/number},https://api.github.com/repos/aws/aws-fpga/releases{/id},https://api.github.com/repos/aws/aws-fpga/pulls{/number},"'VHDL, SystemVerilog, V, Coq, Verilog, C, Tcl, Python, C++, Shell, Filebench WML, Makefile, Assembly, Groovy, PHP, Pawn, Forth"
16,5452161,js-algorithms,https://github.com/duereg/js-algorithms,Javascript versions of classic software development algorithms,2012-08-17T12:49:53Z,270,872,JavaScript,229,1.0,2,872,https://api.github.com/repos/duereg/js-algorithms/languages,https://api.github.com/repos/duereg/js-algorithms/contributors,https://api.github.com/repos/duereg/js-algorithms/issues/events{/number},https://api.github.com/repos/duereg/js-algorithms/issues/comments{/number},https://api.github.com/repos/duereg/js-algorithms/issues{/number},https://api.github.com/repos/duereg/js-algorithms/releases{/id},https://api.github.com/repos/duereg/js-algorithms/pulls{/number},'JavaScript
17,14116426,shinysdr,https://github.com/kpreid/shinysdr,"Software-defined radio receiver application built on GNU Radio with a web-based UI and plugins. In development, usable but incomplete. Compatible with RTL-SDR.",2013-11-04T16:31:48Z,6152,797,Python,92,1.0,41,797,https://api.github.com/repos/kpreid/shinysdr/languages,https://api.github.com/repos/kpreid/shinysdr/contributors,https://api.github.com/repos/kpreid/shinysdr/issues/events{/number},https://api.github.com/repos/kpreid/shinysdr/issues/comments{/number},https://api.github.com/repos/kpreid/shinysdr/issues{/number},https://api.github.com/repos/kpreid/shinysdr/releases{/id},https://api.github.com/repos/kpreid/shinysdr/pulls{/number},"'Python, JavaScript, HTML, CSS, GLSL, Shell"
18,1688228,n2n,https://github.com/meyerd/n2n,A development branch of the n2n p2p vpn software,2011-05-01T16:08:06Z,507,769,C,314,1.0,26,769,https://api.github.com/repos/meyerd/n2n/languages,https://api.github.com/repos/meyerd/n2n/contributors,https://api.github.com/repos/meyerd/n2n/issues/events{/number},https://api.github.com/repos/meyerd/n2n/issues/comments{/number},https://api.github.com/repos/meyerd/n2n/issues{/number},https://api.github.com/repos/meyerd/n2n/releases{/id},https://api.github.com/repos/meyerd/n2n/pulls{/number},"'C, C++, Roff, Shell, Makefile, CMake, Perl, Python"
19,12007030,lammps,https://github.com/lammps/lammps,Public development project of the LAMMPS MD software package  ,2013-08-09T17:45:11Z,465345,730,C++,843,1.0,85,730,https://api.github.com/repos/lammps/lammps/languages,https://api.github.com/repos/lammps/lammps/contributors,https://api.github.com/repos/lammps/lammps/issues/events{/number},https://api.github.com/repos/lammps/lammps/issues/comments{/number},https://api.github.com/repos/lammps/lammps/issues{/number},https://api.github.com/repos/lammps/lammps/releases{/id},https://api.github.com/repos/lammps/lammps/pulls{/number},"'C++, Tcl, Fortran, Python, Cuda, C, Jupyter Notebook, CMake, Shell, Roff, Perl, Makefile, Rich Text Format, Arc, MATLAB, Emacs Lisp, xBase, Vim script, Awk, Gnuplot"
20,202397474,best-practices-checklist,https://github.com/palash25/best-practices-checklist,"A list of awesome idiomatic code resources. Rust:crab:, Go, Ruby:gem:, Pony :horse:, Ocaml :camel:, Erlang and more",2019-08-14T17:36:24Z,54,679,,57,1.0,3,679,https://api.github.com/repos/palash25/best-practices-checklist/languages,https://api.github.com/repos/palash25/best-practices-checklist/contributors,https://api.github.com/repos/palash25/best-practices-checklist/issues/events{/number},https://api.github.com/repos/palash25/best-practices-checklist/issues/comments{/number},https://api.github.com/repos/palash25/best-practices-checklist/issues{/number},https://api.github.com/repos/palash25/best-practices-checklist/releases{/id},https://api.github.com/repos/palash25/best-practices-checklist/pulls{/number},
21,104643181,awesome-agile,https://github.com/lorabv/awesome-agile,Awesome List of resources on Agile Software Development.,2017-09-24T12:45:23Z,214,623,,89,1.0,7,623,https://api.github.com/repos/lorabv/awesome-agile/languages,https://api.github.com/repos/lorabv/awesome-agile/contributors,https://api.github.com/repos/lorabv/awesome-agile/issues/events{/number},https://api.github.com/repos/lorabv/awesome-agile/issues/comments{/number},https://api.github.com/repos/lorabv/awesome-agile/issues{/number},https://api.github.com/repos/lorabv/awesome-agile/releases{/id},https://api.github.com/repos/lorabv/awesome-agile/pulls{/number},
22,4639390,tuleap,https://github.com/Enalean/tuleap,"Tuleap is a Free & Open Source Suite to improve management of software developments and collaboration. With a single web-based solution, project managers, developers & quality managers can easily build, deploy software projects.",2012-06-12T15:48:54Z,230699,619,PHP,197,1.0,0,619,https://api.github.com/repos/Enalean/tuleap/languages,https://api.github.com/repos/Enalean/tuleap/contributors,https://api.github.com/repos/Enalean/tuleap/issues/events{/number},https://api.github.com/repos/Enalean/tuleap/issues/comments{/number},https://api.github.com/repos/Enalean/tuleap/issues{/number},https://api.github.com/repos/Enalean/tuleap/releases{/id},https://api.github.com/repos/Enalean/tuleap/pulls{/number},"'PHP, JavaScript, HTML, CSS, Vue, TypeScript, Perl, Shell, TSQL, Smarty, XSLT, Makefile, Python, Groovy, Raku, Gherkin, Ruby, Dockerfile, Awk"
23,7551429,Hercules,https://github.com/HerculesWS/Hercules,"Hercules is a collaborative software development project revolving around the creation of a robust massively multiplayer online role playing game (MMORPG) server package. Written in C, the program is very versatile and provides NPCs, warps and modifications. The project is jointly managed by a group of volunteers located around the world as well as a tremendous community providing QA and support. Hercules is a continuation of the original Athena project.",2013-01-11T00:29:38Z,227920,584,C++,626,1.0,419,584,https://api.github.com/repos/HerculesWS/Hercules/languages,https://api.github.com/repos/HerculesWS/Hercules/contributors,https://api.github.com/repos/HerculesWS/Hercules/issues/events{/number},https://api.github.com/repos/HerculesWS/Hercules/issues/comments{/number},https://api.github.com/repos/HerculesWS/Hercules/issues{/number},https://api.github.com/repos/HerculesWS/Hercules/releases{/id},https://api.github.com/repos/HerculesWS/Hercules/pulls{/number},"'C++, C, TSQL, PHP, Perl, Python, M4, Makefile, CSS, Shell, Lua, Objective-C, AppleScript, Batchfile, Assembly, PowerShell, HTML, Pascal"
24,8654659,PhilipsHueSDK-iOS-OSX,https://github.com/PhilipsHue/PhilipsHueSDK-iOS-OSX,The Software Development Kit for Philips Hue on iOS and OS X (beta),2013-03-08T16:18:07Z,66043,566,Objective-C,192,1.0,33,566,https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/languages,https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/contributors,https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/issues/events{/number},https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/issues/comments{/number},https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/issues{/number},https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/releases{/id},https://api.github.com/repos/PhilipsHue/PhilipsHueSDK-iOS-OSX/pulls{/number},"'Objective-C, C"
25,32916,retrospectiva,https://github.com/dim/retrospectiva,"Open source, web-based agile project management, featuring: Goal planner, Story management, Issue-tracker, Code review, SCM Integration, Wiki & Blog.  It is intended to assist the collaborative aspect of work carried out by software development teams.",2008-07-10T06:37:59Z,3270,521,Ruby,93,1.0,3,521,https://api.github.com/repos/dim/retrospectiva/languages,https://api.github.com/repos/dim/retrospectiva/contributors,https://api.github.com/repos/dim/retrospectiva/issues/events{/number},https://api.github.com/repos/dim/retrospectiva/issues/comments{/number},https://api.github.com/repos/dim/retrospectiva/issues{/number},https://api.github.com/repos/dim/retrospectiva/releases{/id},https://api.github.com/repos/dim/retrospectiva/pulls{/number},"'Ruby, JavaScript"
26,69979342,the-engineering-managers-booklist,https://github.com/jesselpalmer/the-engineering-managers-booklist,Books for people who are or aspire to manage/lead team(s) of software engineers,2016-10-04T15:34:12Z,172,514,,63,1.0,0,514,https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/languages,https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/contributors,https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/issues/events{/number},https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/issues/comments{/number},https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/issues{/number},https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/releases{/id},https://api.github.com/repos/jesselpalmer/the-engineering-managers-booklist/pulls{/number},
27,1504670,splunk-sdk-python,https://github.com/splunk/splunk-sdk-python,Splunk Software Development Kit for Python,2011-03-20T23:20:06Z,70263,441,Python,265,1.0,57,441,https://api.github.com/repos/splunk/splunk-sdk-python/languages,https://api.github.com/repos/splunk/splunk-sdk-python/contributors,https://api.github.com/repos/splunk/splunk-sdk-python/issues/events{/number},https://api.github.com/repos/splunk/splunk-sdk-python/issues/comments{/number},https://api.github.com/repos/splunk/splunk-sdk-python/issues{/number},https://api.github.com/repos/splunk/splunk-sdk-python/releases{/id},https://api.github.com/repos/splunk/splunk-sdk-python/pulls{/number},"'Python, Ruby"
28,60712558,loopback-sdk-builder,https://github.com/mean-expert-official/loopback-sdk-builder,Tool for auto-generating Software Development Kits (SDKs) for LoopBack,2016-06-08T16:24:27Z,2610,408,HTML,162,1.0,114,408,https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/languages,https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/contributors,https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/issues/events{/number},https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/issues/comments{/number},https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/issues{/number},https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/releases{/id},https://api.github.com/repos/mean-expert-official/loopback-sdk-builder/pulls{/number},"'HTML, TypeScript, JavaScript, CSS"
29,10654465,cortex,https://github.com/ImageEngine/cortex,Libraries for visual effects software development,2013-06-12T23:12:28Z,107827,379,C++,109,1.0,41,379,https://api.github.com/repos/ImageEngine/cortex/languages,https://api.github.com/repos/ImageEngine/cortex/contributors,https://api.github.com/repos/ImageEngine/cortex/issues/events{/number},https://api.github.com/repos/ImageEngine/cortex/issues/comments{/number},https://api.github.com/repos/ImageEngine/cortex/issues{/number},https://api.github.com/repos/ImageEngine/cortex/releases{/id},https://api.github.com/repos/ImageEngine/cortex/pulls{/number},"'C++, Python, Mathematica, CMake, C, GLSL, Objective-C, Tcl, Batchfile"
30,7036325,Apworks,https://github.com/daxnet/Apworks,"Apworks is a flexible, scalable, configurable and efficient .NET based application development framework that helps software developers to easily build enterprise applications by applying either Classic Layering or Command-Query Responsibility Segregation (CQRS) architectural patterns.",2012-12-06T13:45:51Z,20403,376,C#,136,1.0,2,376,https://api.github.com/repos/daxnet/Apworks/languages,https://api.github.com/repos/daxnet/Apworks/contributors,https://api.github.com/repos/daxnet/Apworks/issues/events{/number},https://api.github.com/repos/daxnet/Apworks/issues/comments{/number},https://api.github.com/repos/daxnet/Apworks/issues{/number},https://api.github.com/repos/daxnet/Apworks/releases{/id},https://api.github.com/repos/daxnet/Apworks/pulls{/number},"'C#, Csound Document, Shell, Batchfile"
31,615096,trac,https://github.com/edgewall/trac,Trac is an enhanced wiki and issue tracking system for software development projects (mirror),2010-04-17T15:10:51Z,45192,352,Python,139,1.0,1,352,https://api.github.com/repos/edgewall/trac/languages,https://api.github.com/repos/edgewall/trac/contributors,https://api.github.com/repos/edgewall/trac/issues/events{/number},https://api.github.com/repos/edgewall/trac/issues/comments{/number},https://api.github.com/repos/edgewall/trac/issues{/number},https://api.github.com/repos/edgewall/trac/releases{/id},https://api.github.com/repos/edgewall/trac/pulls{/number},"'Python, HTML, JavaScript, CSS, Makefile, PowerShell, Shell, CoffeeScript, Perl, Batchfile"
32,71406410,puma-scan,https://github.com/pumasecurity/puma-scan,"Puma Scan is a software security Visual Studio extension that provides real time, continuous source code analysis as development teams write code. Vulnerabilities are immediately displayed in the development environment as spell check and compiler warnings, preventing security bugs from entering your applications.",2016-10-19T23:02:06Z,1208,342,C#,66,1.0,20,342,https://api.github.com/repos/pumasecurity/puma-scan/languages,https://api.github.com/repos/pumasecurity/puma-scan/contributors,https://api.github.com/repos/pumasecurity/puma-scan/issues/events{/number},https://api.github.com/repos/pumasecurity/puma-scan/issues/comments{/number},https://api.github.com/repos/pumasecurity/puma-scan/issues{/number},https://api.github.com/repos/pumasecurity/puma-scan/releases{/id},https://api.github.com/repos/pumasecurity/puma-scan/pulls{/number},"'C#, PowerShell, Shell, Dockerfile"
33,74069383,InnerSourcePatterns,https://github.com/InnerSourceCommons/InnerSourcePatterns,Proven approaches that can guide you through applying open source best practices within your organization,2016-11-17T21:32:44Z,11081,328,,66,1.0,34,328,https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/languages,https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/contributors,https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/issues/events{/number},https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/issues/comments{/number},https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/issues{/number},https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/releases{/id},https://api.github.com/repos/InnerSourceCommons/InnerSourcePatterns/pulls{/number},
34,77066767,repairnator,https://github.com/eclipse/repairnator,Software development bot that automatically repairs build failures on continuous integration. Join the bot revolution! :star2::robot::star2::revolving_hearts:,2016-12-21T16:12:54Z,60661,316,Java,58,1.0,103,316,https://api.github.com/repos/eclipse/repairnator/languages,https://api.github.com/repos/eclipse/repairnator/contributors,https://api.github.com/repos/eclipse/repairnator/issues/events{/number},https://api.github.com/repos/eclipse/repairnator/issues/comments{/number},https://api.github.com/repos/eclipse/repairnator/issues{/number},https://api.github.com/repos/eclipse/repairnator/releases{/id},https://api.github.com/repos/eclipse/repairnator/pulls{/number},"'Java, JavaScript, Shell, HTML, CSS, Python, Dockerfile"
35,101635809,ncsdk,https://github.com/movidius/ncsdk,Software Development Kit for the Neural Compute Stick,2017-08-28T11:23:56Z,72151,296,C,136,1.0,12,296,https://api.github.com/repos/movidius/ncsdk/languages,https://api.github.com/repos/movidius/ncsdk/contributors,https://api.github.com/repos/movidius/ncsdk/issues/events{/number},https://api.github.com/repos/movidius/ncsdk/issues/comments{/number},https://api.github.com/repos/movidius/ncsdk/issues{/number},https://api.github.com/repos/movidius/ncsdk/releases{/id},https://api.github.com/repos/movidius/ncsdk/pulls{/number},"'C, Python, Shell, Makefile"
36,20395176,embeddedsw,https://github.com/Xilinx/embeddedsw,Xilinx Embedded Software (embeddedsw) Development,2014-06-02T06:39:15Z,172920,272,HTML,490,1.0,98,272,https://api.github.com/repos/Xilinx/embeddedsw/languages,https://api.github.com/repos/Xilinx/embeddedsw/contributors,https://api.github.com/repos/Xilinx/embeddedsw/issues/events{/number},https://api.github.com/repos/Xilinx/embeddedsw/issues/comments{/number},https://api.github.com/repos/Xilinx/embeddedsw/issues{/number},https://api.github.com/repos/Xilinx/embeddedsw/releases{/id},https://api.github.com/repos/Xilinx/embeddedsw/pulls{/number},"'HTML, C, JavaScript, CSS, C++, Tcl, Assembly, Objective-C, Makefile, Shell, CartoCSS, Smarty, CMake"
