,LoginId,Contributions,Id
0,patrickarlt,888,10066825
1,alaframboise,76,10066825
2,paulcpederson,29,10066825
3,robertd,29,10066825
4,gavinr,26,10066825
5,tomwayson,17,10066825
6,odoe,17,10066825
7,oslek,12,10066825
8,nikolaswise,10,10066825
9,ungoldman,10,10066825
10,jgravois,8,10066825
11,dangowans,6,10066825
12,aaronpk,5,10066825
13,pmacMaps,5,10066825
14,jordanparfitt,5,10066825
15,jwasilgeo,5,10066825
16,kevinsigwart,4,10066825
17,tyleralves,4,10066825
18,appleshowc,4,10066825
19,hamhands,4,10066825
20,MandarinConLaBarba,3,10066825
21,geographist,3,10066825
22,scw,3,10066825
23,pjbiogit,3,10066825
24,brianbancroft,3,10066825
25,Saulzi,3,10066825
26,qbit,2,10066825
27,bmcbride,2,10066825
28,spoilsportmotors,2,10066825
29,jfolds,2,10066825
30,mattficke,2,10066825
31,ogix,2,10066825
32,whymarrh,2,10066825
33,bbehling,2,10066825
34,nathanhilbert,2,10066825
35,skarppion101,1,10066825
36,alexpatow,1,10066825
37,alperdincer,1,10066825
38,Biboba,1,10066825
39,cwalv,1,10066825
40,chloe-mc,1,10066825
41,crb04c,1,10066825
42,dmahoney-rdffg,1,10066825
43,davidpiesse,1,10066825
44,strajuser,1,10066825
45,Greigrm,1,10066825
46,henrygranados,1,10066825
47,mejackreed,1,10066825
48,jaredbrookswhite,1,10066825
49,johnwebbcole,1,10066825
50,joelondon,1,10066825
51,LukasDrgon,1,10066825
52,mattsayler,1,10066825
53,mwengren,1,10066825
54,goldenlimit,1,10066825
55,nickpeihl,1,10066825
56,kneemer,1,10066825
57,stdavis,1,10066825
58,tbranyen,1,10066825
59,agbq,1,10066825
60,alexdown,1,10066825
61,dependabot[bot],1,10066825
62,keithpower,1,10066825
63,phpmaps,1,10066825
64,scaddenp,1,10066825
65,timwis,1,10066825
66,oliviertassinari,3104,23083156
67,hai-cea,1085,23083156
68,mbrookes,669,23083156
69,eps1lon,471,23083156
70,dependabot-preview[bot],432,23083156
71,nathanmarks,351,23083156
72,mmrtnz,329,23083156
73,alitaheri,245,23083156
74,rosskevin,208,23083156
75,newoga,143,23083156
76,shaurya947,102,23083156
77,joshwooding,90,23083156
78,jkruder,82,23083156
79,merceyz,70,23083156
80,pelotom,56,23083156
81,jtollerene,53,23083156
82,Zadielerick,53,23083156
83,agamrafaeli,40,23083156
84,leMaik,40,23083156
85,pradel,39,23083156
86,pomerantsev,38,23083156
87,chrismcv,37,23083156
88,cgestes,31,23083156
89,adeelibr,29,23083156
90,sebald,29,23083156
91,tintin1343,29,23083156
92,castrolol,26,23083156
93,rfbotto,24,23083156
94,theosherry,24,23083156
95,yulric,23,23083156
96,mikepb,20,23083156
97,igorbt,20,23083156
98,aditya1906,18,23083156
99,caub,17,23083156
100,kgregory,17,23083156
101,muibot,17,23083156
102,jedwards1211,16,23083156
103,vmakhaev,16,23083156
104,cherniavskii,16,23083156
105,ArcanisCz,15,23083156
106,netochaves,15,23083156
107,marnusw,15,23083156
108,louy,15,23083156
109,ianschmitz,14,23083156
110,NMinhNguyen,14,23083156
111,TrySound,13,23083156
112,ButuzGOL,13,23083156
113,sakulstra,13,23083156
114,misha-panyushkin,13,23083156
115,ryancogswell,13,23083156
116,sperry94,13,23083156
117,stunaz,13,23083156
118,franklixuefei,13,23083156
119,t49tran,13,23083156
120,cvanem,13,23083156
121,C-Rodg,12,23083156
122,greenkeeper[bot],12,23083156
123,lukePeavey,12,23083156
124,DDDDDanica,11,23083156
125,KapJI,11,23083156
126,heetvachhani,11,23083156
127,patrykkopycinski,10,23083156
128,kybarg,10,23083156
129,tyfoo,10,23083156
130,croraf,10,23083156
131,captain-yossarian,10,23083156
132,xaviergonz,10,23083156
133,jakeboone02,9,23083156
134,eyn,9,23083156
135,SebastianSchmidt,9,23083156
136,VincentLanglet,9,23083156
137,mwq27,9,23083156
138,yongxu,9,23083156
139,Shahrukh-Zindani,9,23083156
140,antoinerousseau,8,23083156
141,BobertForever,8,23083156
142,hiteshkundal,8,23083156
143,Janpot,8,23083156
144,rolandpoulter,8,23083156
145,tony,8,23083156
146,felipethome,8,23083156
147,gregnb,8,23083156
148,maoziliang,8,23083156
149,ljvanschie,8,23083156
150,charlax,7,23083156
151,DeviaVir,7,23083156
152,jeroencoumans,7,23083156
153,lksilva,7,23083156
154,NogsMPLS,7,23083156
155,siriwatknp,7,23083156
156,tschaub,7,23083156
157,vkentta,7,23083156
158,zhxnlai,7,23083156
159,pandaiolo,7,23083156
160,tylermichael,7,23083156
161,martianboy,6,23083156
162,acrogenesis,6,23083156
163,alshain,6,23083156
164,CumpsD,6,23083156
165,ekoeditaa,6,23083156
166,LorenzHenk,6,23083156
167,nmchaves,6,23083156
168,nicolasiensen,6,23083156
169,peteratticusberg,6,23083156
170,Shubhamchinda,6,23083156
171,TommyJackson85,6,23083156
172,ValentinH,6,23083156
173,vitkon,6,23083156
174,WRidder,6,23083156
175,fyodore82,6,23083156
176,netoctone,6,23083156
177,andrejunges,6,23083156
178,codeheroics,6,23083156
179,hoop71,6,23083156
180,uxitten,5,23083156
181,bh1505,5,23083156
182,DaIgeb,5,23083156
183,dmtrKovalenko,5,23083156
184,limatgans,5,23083156
185,G-Rath,5,23083156
186,iamhosseindhv,5,23083156
187,Primajin,5,23083156
188,jaygood,5,23083156
189,dapetcu21,5,23083156
190,markselby9,5,23083156
191,m4theushw,5,23083156
192,mbrn,5,23083156
193,nareshbhatia,5,23083156
194,pvdstel,5,23083156
195,pranshuchittora,5,23083156
196,shawnmcknight,5,23083156
197,SimonDegraeve,5,23083156
198,Tevinthuku,5,23083156
199,troutowicz,5,23083156
