,Id,Name,URL,Description,Created,Size,Stars,Primal Language,Forks,Score,Open Issues Count,Subscribers Url,Languages Url,Contributors Url,Issue Event Url,Issue Comment Url,Issues Url,Releases Url,Pulls Url,Languages
0,54346799,public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs for use in software and web development.,2016-03-20T23:49:42Z,2559,73218,Python,8399,1.0,91,https://api.github.com/repos/public-apis/public-apis/subscribers,https://api.github.com/repos/public-apis/public-apis/languages,https://api.github.com/repos/public-apis/public-apis/contributors,https://api.github.com/repos/public-apis/public-apis/issues/events{/number},https://api.github.com/repos/public-apis/public-apis/issues/comments{/number},https://api.github.com/repos/public-apis/public-apis/issues{/number},https://api.github.com/repos/public-apis/public-apis/releases{/id},https://api.github.com/repos/public-apis/public-apis/pulls{/number},"'Python, Shell"
1,23083156,material-ui,https://github.com/mui-org/material-ui,"React components for faster and easier web development. Build your own design system, or start with Material Design.",2014-08-18T19:11:54Z,108564,55930,JavaScript,15192,1.0,385,https://api.github.com/repos/mui-org/material-ui/subscribers,https://api.github.com/repos/mui-org/material-ui/languages,https://api.github.com/repos/mui-org/material-ui/contributors,https://api.github.com/repos/mui-org/material-ui/issues/events{/number},https://api.github.com/repos/mui-org/material-ui/issues/comments{/number},https://api.github.com/repos/mui-org/material-ui/issues{/number},https://api.github.com/repos/mui-org/material-ui/releases{/id},https://api.github.com/repos/mui-org/material-ui/pulls{/number},"'JavaScript, TypeScript, HTML, Shell"
2,107111421,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,2017-10-16T10:12:36Z,3234,38677,JavaScript,3851,1.0,16,https://api.github.com/repos/thedaviddias/Front-End-Checklist/subscribers,https://api.github.com/repos/thedaviddias/Front-End-Checklist/languages,https://api.github.com/repos/thedaviddias/Front-End-Checklist/contributors,https://api.github.com/repos/thedaviddias/Front-End-Checklist/issues/events{/number},https://api.github.com/repos/thedaviddias/Front-End-Checklist/issues/comments{/number},https://api.github.com/repos/thedaviddias/Front-End-Checklist/issues{/number},https://api.github.com/repos/thedaviddias/Front-End-Checklist/releases{/id},https://api.github.com/repos/thedaviddias/Front-End-Checklist/pulls{/number},"'JavaScript, CSS, HTML"
3,56717493,HEAD,https://github.com/joshbuchea/HEAD,🗿 A list of everything that *could* go in the head of your document,2016-04-20T20:05:37Z,415,26949,,1864,1.0,14,https://api.github.com/repos/joshbuchea/HEAD/subscribers,https://api.github.com/repos/joshbuchea/HEAD/languages,https://api.github.com/repos/joshbuchea/HEAD/contributors,https://api.github.com/repos/joshbuchea/HEAD/issues/events{/number},https://api.github.com/repos/joshbuchea/HEAD/issues/comments{/number},https://api.github.com/repos/joshbuchea/HEAD/issues{/number},https://api.github.com/repos/joshbuchea/HEAD/releases{/id},https://api.github.com/repos/joshbuchea/HEAD/pulls{/number},
4,115478820,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",2017-12-27T03:46:40Z,1280,25482,,2849,1.0,0,https://api.github.com/repos/binhnguyennus/awesome-scalability/subscribers,https://api.github.com/repos/binhnguyennus/awesome-scalability/languages,https://api.github.com/repos/binhnguyennus/awesome-scalability/contributors,https://api.github.com/repos/binhnguyennus/awesome-scalability/issues/events{/number},https://api.github.com/repos/binhnguyennus/awesome-scalability/issues/comments{/number},https://api.github.com/repos/binhnguyennus/awesome-scalability/issues{/number},https://api.github.com/repos/binhnguyennus/awesome-scalability/releases{/id},https://api.github.com/repos/binhnguyennus/awesome-scalability/pulls{/number},
5,117372806,front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,"🕸 Almost complete answers to ""Front-end Job Interview Questions"" which you can use to interview potential candidates, test yourself or completely ignore",2018-01-13T19:40:08Z,1463,23720,JavaScript,3277,1.0,10,https://api.github.com/repos/yangshun/front-end-interview-handbook/subscribers,https://api.github.com/repos/yangshun/front-end-interview-handbook/languages,https://api.github.com/repos/yangshun/front-end-interview-handbook/contributors,https://api.github.com/repos/yangshun/front-end-interview-handbook/issues/events{/number},https://api.github.com/repos/yangshun/front-end-interview-handbook/issues/comments{/number},https://api.github.com/repos/yangshun/front-end-interview-handbook/issues{/number},https://api.github.com/repos/yangshun/front-end-interview-handbook/releases{/id},https://api.github.com/repos/yangshun/front-end-interview-handbook/pulls{/number},'JavaScript
6,71583602,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,2016-10-21T17:02:11Z,734,14435,,1948,1.0,3,https://api.github.com/repos/Developer-Y/cs-video-courses/subscribers,https://api.github.com/repos/Developer-Y/cs-video-courses/languages,https://api.github.com/repos/Developer-Y/cs-video-courses/contributors,https://api.github.com/repos/Developer-Y/cs-video-courses/issues/events{/number},https://api.github.com/repos/Developer-Y/cs-video-courses/issues/comments{/number},https://api.github.com/repos/Developer-Y/cs-video-courses/issues{/number},https://api.github.com/repos/Developer-Y/cs-video-courses/releases{/id},https://api.github.com/repos/Developer-Y/cs-video-courses/pulls{/number},
7,139596105,Front-End-Performance-Checklist,https://github.com/thedaviddias/Front-End-Performance-Checklist,🎮 The only Front-End Performance Checklist that runs faster than the others,2018-07-03T14:33:01Z,320,12052,,890,1.0,15,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/subscribers,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/languages,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/contributors,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/issues/events{/number},https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/issues/comments{/number},https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/issues{/number},https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/releases{/id},https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/pulls{/number},
8,85225942,Become-A-Full-Stack-Web-Developer,https://github.com/bmorelli25/Become-A-Full-Stack-Web-Developer,Free resources for learning Full Stack Web Development,2017-03-16T17:51:51Z,79,11777,,1989,1.0,17,https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/subscribers,https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/languages,https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/contributors,https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/issues/events{/number},https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/issues/comments{/number},https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/issues{/number},https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/releases{/id},https://api.github.com/repos/bmorelli25/Become-A-Full-Stack-Web-Developer/pulls{/number},
9,93956851,spellbook-of-modern-webdev,https://github.com/dexteryy/spellbook-of-modern-webdev,"A Big Picture, Thesaurus, and Taxonomy of Modern JavaScript Web Development",2017-06-10T18:03:21Z,557,11327,,869,1.0,9,https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/subscribers,https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/languages,https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/contributors,https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/issues/events{/number},https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/issues/comments{/number},https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/issues{/number},https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/releases{/id},https://api.github.com/repos/dexteryy/spellbook-of-modern-webdev/pulls{/number},
